Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,group
HALLMARK_APOPTOSIS,117,0.517809092,1.781332792,0.000182623,0.001141394,0.000600734,1052,"tags=27%, list=11%, signal=25%",KS
HALLMARK_FATTY_ACID_METABOLISM,122,-0.426937195,-1.796564218,0.00115456,0.005956926,0.003135224,1268,"tags=35%, list=14%, signal=31%",KS
HALLMARK_IL2_STAT5_SIGNALING,116,0.473070416,1.624741006,0.001191385,0.005956926,0.003135224,1532,"tags=24%, list=16%, signal=20%",KS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,126,-0.528979386,-1.969748116,1.38E-06,6.88E-05,3.62E-05,1035,"tags=37%, list=11%, signal=34%",OA
HALLMARK_APICAL_JUNCTION,106,-0.520016304,-1.901955007,2.35E-05,0.000399427,0.000210225,920,"tags=25%, list=9%, signal=22%",OA
HALLMARK_COAGULATION,69,-0.580814811,-1.973097031,2.40E-05,0.000399427,0.000210225,515,"tags=29%, list=5%, signal=28%",OA
HALLMARK_MTORC1_SIGNALING,169,0.40533078,1.786568276,5.56E-05,0.000582789,0.000306731,790,"tags=21%, list=8%, signal=20%",OA
HALLMARK_TNFA_SIGNALING_VIA_NFKB,118,0.460520036,1.922097176,5.83E-05,0.000582789,0.000306731,905,"tags=29%, list=9%, signal=26%",OA
HALLMARK_MYOGENESIS,101,-0.509392028,-1.839888957,0.000108396,0.000903304,0.000475423,1013,"tags=34%, list=10%, signal=30%",OA
HALLMARK_MYC_TARGETS_V1,171,-0.441102354,-1.7070931,0.000128651,0.000918938,0.000483652,2460,"tags=49%, list=25%, signal=37%",OA
HALLMARK_APOPTOSIS,116,-0.47699435,-1.759565473,0.00027439,0.00171494,0.0009026,842,"tags=23%, list=9%, signal=22%",OA
HALLMARK_OXIDATIVE_PHOSPHORYLATION,187,0.381076939,1.702500975,0.000321575,0.00178653,0.000940279,1242,"tags=28%, list=13%, signal=25%",OA
HALLMARK_ESTROGEN_RESPONSE_EARLY,117,0.423113245,1.768397375,0.000923957,0.004619787,0.002431467,726,"tags=26%, list=7%, signal=24%",OA
