Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,group
HALLMARK_APOPTOSIS,106,0.515010378,1.99857727,1.42E-05,8.85E-05,6.52E-05,657,"tags=26%, list=7%, signal=25%",KS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,136,0.459407567,1.878713482,6.29E-05,0.000349271,0.000257357,913,"tags=26%, list=9%, signal=24%",KS
HALLMARK_CHOLESTEROL_HOMEOSTASIS,55,0.536338897,1.854899293,0.000780987,0.003904936,0.002877321,1404,"tags=40%, list=14%, signal=34%",KS
HALLMARK_MYC_TARGETS_V1,172,0.439190264,1.876428193,6.83E-06,0.000341684,0.000237381,2015,"tags=38%, list=20%, signal=31%",OA
HALLMARK_APICAL_JUNCTION,106,-0.446633264,-1.904439534,4.11E-05,0.001026676,0.00071327,1428,"tags=32%, list=14%, signal=28%",OA
HALLMARK_OXIDATIVE_PHOSPHORYLATION,186,0.396586924,1.711586243,0.000144656,0.001928379,0.001339716,1430,"tags=28%, list=14%, signal=24%",OA
HALLMARK_MITOTIC_SPINDLE,160,-0.376684194,-1.721411538,0.00015427,0.001928379,0.001339716,2003,"tags=29%, list=20%, signal=24%",OA
HALLMARK_APOPTOSIS,105,-0.413945198,-1.764302502,0.000364351,0.003643508,0.002531279,1059,"tags=29%, list=11%, signal=26%",OA
HALLMARK_TNFA_SIGNALING_VIA_NFKB,112,-0.408088084,-1.773274018,0.000525251,0.00437709,0.003040925,1071,"tags=36%, list=11%, signal=32%",OA
HALLMARK_SPERMATOGENESIS,105,-0.401469832,-1.711130443,0.00066522,0.004751575,0.003301094,1346,"tags=33%, list=13%, signal=29%",OA
HALLMARK_MYOGENESIS,116,-0.358706987,-1.567660025,0.002028423,0.011441385,0.007948752,1186,"tags=28%, list=12%, signal=25%",OA
HALLMARK_XENOBIOTIC_METABOLISM,108,0.416503624,1.663952991,0.002059449,0.011441385,0.007948752,952,"tags=22%, list=10%, signal=20%",OA
HALLMARK_COAGULATION,64,-0.416071503,-1.628654208,0.0038264,0.019132,0.013291705,977,"tags=30%, list=10%, signal=27%",OA
