score_display,OA_3,AZFc_Del_2,OA_4,OA_2,Ctrl_1,KS_2,Ctrl_3,AZFc_Del_1,AZFc_Del_4,AZFc_Del_3,iNOA_B,iNOA_S3,Ctrl_2,iNOA_S1,iNOA_S2,KS_1
ST Maturity,0.5708352601156069,0.5844333333333334,0.5992988505747127,0.5752857142857143,0.5464448529411765,0.5735587188612099,0.5162554744525548,0.5201515847496554,0.4993827314238273,0.558604938271605,0.4800858725761773,0.4945349505266518,0.4326714285714285,0.5072775605942142,0.4563208791208792,0.30844
BTB Integrity,0.2190982658959538,0.2289,0.2330651340996168,0.2238095238095238,0.2186617647058824,0.202,0.2092846715328467,0.2184184657785944,0.210137401411374,0.1826728395061728,0.1831412742382272,0.2013329077561443,0.1610857142857143,0.174494917904613,0.1102615384615385,0.16284
ST Stress IEG,0.05464161849710982,0.2640333333333333,0.2370306513409962,0.1055396825396825,0.06678676470588235,0.2728612099644128,0.1332846715328467,0.2030684428112081,0.1805043586550436,0.3344475308641975,0.2458254847645429,0.359341206511331,0.08508571428571429,0.1841555903049257,0.06983296703296704,0.51788
ST SASP,0.137393063583815,0.2226333333333333,0.2094904214559387,0.1767142857142857,0.1169705882352941,0.2323202846975089,0.1329160583941606,0.194751033532384,0.1959846409298464,0.250841049382716,0.1661939058171745,0.1952840727736994,0.07661428571428572,0.1554175136825645,0.1109054945054945,0.29784
ST Lactate Export,0.2425809248554913,0.2159666666666667,0.2413793103448276,0.2423650793650794,0.1159301470588235,0.2525444839857651,0.1406386861313869,0.2103004134129536,0.2183092569530926,0.2613950617283951,0.112218836565097,0.1912020427705075,0.1496428571428571,0.1704714620797498,0.1539516483516483,0.19596
ST DHH Ligand,0.05950867052023121,0.0858,0.03141762452107279,0.03204761904761905,0.03342647058823529,0.07607473309608541,0.00297080291970803,0.03024069820854387,0.0196816106268161,0.03822067901234568,0.01124376731301939,0.004901372486434727,0.01735714285714286,0.006020328381548085,0.004604395604395604,0.01668
LC Mature,0.411875,0.4138333333333333,0.4044827586206897,0.08950000000000001,0.2383333333333333,0.1712396694214876,0.3898898305084745,0.1135186781609195,0.1171801242236025,0.1215128205128205,0.07086481481481482,0.1428594674556213,0.032575,0.07880714285714285,0.05721515965383468,0.05156158980582524
LC Immature,0.012,0.02183333333333333,0.02608620689655172,0.0435,0.05216666666666667,0.1068347107438016,0.04897457627118644,0.08369540229885057,0.09276397515527951,0.1413675213675214,0.05923703703703704,0.1442263313609468,0.07126249999999999,0.1512979591836734,0.1304759773202029,0.1603543689320388
Hh Response,0.0189375,0.04116666666666667,0.03084482758620689,0.0225,0.01816666666666667,0.07880165289256198,0.01715254237288136,0.03084051724137931,0.033527950310559,0.06864102564102564,0.03667962962962962,0.05308136094674556,0.0325,0.06354897959183674,0.04338675022381379,0.0274629854368932
