Sample_ID,Group,score_display,score_column,value_raw,value_zscore_rowwise
AZFc_Del_3,AZFc_Del,ST SASP,ST_SASP,0.250841049382716,1.284837355681482
iNOA_B,iNOA_B,ST SASP,ST_SASP,0.1661939058171745,-0.24000069638274651
iNOA_S3,iNOA_S,ST SASP,ST_SASP,0.1952840727736994,0.2840310859994292
Ctrl_2,Ctrl,ST SASP,ST_SASP,0.07661428571428572,-1.853692637642155
iNOA_S1,iNOA_S,ST SASP,ST_SASP,0.1554175136825645,-0.4341271854602618
iNOA_S2,iNOA_S,ST SASP,ST_SASP,0.1109054945054945,-1.2359690168134378
KS_1,KS,ST SASP,ST_SASP,0.29784,2.131478899501942
OA_3,OA,ST Lactate Export,ST_Lactate_Export,0.2425809248554913,1.0096935657937867
AZFc_Del_2,AZFc_Del,ST Lactate Export,ST_Lactate_Export,0.2159666666666667,0.4487141144227844
OA_4,OA,ST Lactate Export,ST_Lactate_Export,0.2413793103448276,0.9843657492463915
OA_2,OA,ST Lactate Export,ST_Lactate_Export,0.2423650793650794,1.005143941155253
Ctrl_1,Ctrl,ST Lactate Export,ST_Lactate_Export,0.1159301470588235,-1.659871121675837
KS_2,KS,ST Lactate Export,ST_Lactate_Export,0.2525444839857651,1.2197070065197257
Ctrl_3,Ctrl,ST Lactate Export,ST_Lactate_Export,0.1406386861313869,-1.1390607126550871
AZFc_Del_1,AZFc_Del,ST Lactate Export,ST_Lactate_Export,0.2103004134129536,0.3292799517628667
AZFc_Del_4,AZFc_Del,ST Lactate Export,ST_Lactate_Export,0.2183092569530926,0.49809159488241495
AZFc_Del_3,AZFc_Del,ST Lactate Export,ST_Lactate_Export,0.2613950617283951,1.4062608533769636
iNOA_B,iNOA_B,ST Lactate Export,ST_Lactate_Export,0.112218836565097,-1.738098698408085
iNOA_S3,iNOA_S,ST Lactate Export,ST_Lactate_Export,0.1912020427705075,-0.07327845918612687
Ctrl_2,Ctrl,ST Lactate Export,ST_Lactate_Export,0.1496428571428571,-0.9492694031161183
iNOA_S1,iNOA_S,ST Lactate Export,ST_Lactate_Export,0.1704714620797498,-0.5102408460388544
