direction,group,Description,ID,Count,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,minus_log10_pvalue,minus_log10_p_adjust,geneID
Up,AZFc,extracellular matrix structural constituent,GO:0005201,17,17/373,172/18368,8.45e-08,2.59e-05,2.24e-05,7.073143291050307,4.586700235918748,PODN/IGFBP7/LTBP4/OGN/FN1/COL1A2/COL6A2/DPT/COL14A1/COL15A1/MGP/LUM/COL18A1/LAMB2/DCN/VCAN/CILP
Up,AZFc,regeneration,GO:0031099,18,18/370,198/18723,8.47e-08,5.6e-05,4.46e-05,7.072116589669293,4.251811972993799,IGF1/APOA1/CD81/CDK4/SRSF5/LRP1/HGF/CERS2/STK24/FGF10/SOX15/YAP1/GAS6/HOPX/LAMB2/EGFR/PRRX1/ERBB4
Up,AZFc,cell-substrate junction,GO:0030055,27,27/384,425/19550,9.82e-08,6.65e-06,5.21e-06,7.00788851221305,5.1771783546968955,PPIB/VIM/CD81/ILK/ITGAV/FLII/AKAP12/LRP1/CAP1/SNAP23/NCKAP1/B2M/CDH2/NRP1/SNTB2/SVIL/VCL/MPRIP/MRC2/PDGFRB/EGFR/ITGA6/FAT1/GNA12/ITGB8/AHNAK/ZYX
Up,,,,,,,,,,,,
Up,,,,,,,,,,,,
Up,,,,,,,,,,,,
Down,iNOA_B,vacuolar lumen,GO:0005775,40,40/921,174/19550,3.47e-17,2.13e-14,1.61e-14,16.459670525209127,13.671620396561263,GALC/PTGES2/NEU1/LIPA/DPP7/ASAH1/VCP/CREG1/HEXB/PA2G4/CCT2/CTSD/TPP1/LAMP2/TUBB4B/PLD3/CTSB/VAT1/LGMN/GLB1/PRELP/PRDX6/ACTR10/CHID1/SDCBP/CCT8/GRN/NSG1/CTSL/C3/CTSA/TUBB/PSAP/NPC2/FTL/HSPA8/CD74/ANXA2/CYB5R3/LUM
Down,iNOA_B,mitochondrial matrix,GO:0005759,67,67/921,480/19550,1.19e-15,2.69e-13,2.03e-13,14.924453038607469,12.570247719997592,HIBCH/FH/ISCA1/GFM1/CS/GRPEL1/MRRF/DAP3/HADH/BCKDK/BCAT2/GSTZ1/PRDX5/POLDIP2/HMGCL/HIBADH/HAGH/ATP5F1A/PYCR2/FDXR/DLD/ALDH2/IDH3B/SOD2/ALKBH7/ALDH6A1/NAXD/ACAA2/HSPE1/ERAL1/ISCA2/C1QBP/ETFA/GSTK1/PDSS2/TXN2/NDUFA10/TRUB2/ACAT1/HSPA9/VDAC2/MMAB/PCCB/IDH3G/GPX1/OAT/ATP5F1C/PPA2/NDUFA9/DECR1/ALAS1/TSFM/NDUFS2/TUFM/ECHS1/PDHB/ATP5PB/HSPD1/MDH2/ATP5F1B/ACSM3/PDK4/HADHB/FDX1/SLC25A5/CYP11A1/PRDX3
Down,iNOA_B,secretory granule lumen,GO:0034774,53,53/921,322/19550,1.31e-15,2.69e-13,2.03e-13,14.882728704344236,12.570247719997592,XRCC6/B2M/DBNL/PRDX4/PTGES2/SCCPDH/NEU1/GPI/DPP7/PSMA5/ARMC8/VCP/QSOX1/NIT2/PSMB7/DERA/CREG1/HEXB/PA2G4/PSMD11/PSMD13/CSNK2B/CCT2/CTSD/SERPING1/PGAM1/PSMD14/PGM2/TUBB4B/VAT1/HSP90AB1/GLB1/PRDX6/ACTR10/SDCBP/IMPDH2/CCT8/GRN/C3/CTSA/TUBB/EEF1A1/ILF2/TEX264/IDH1/NPC2/FTL/LGALS3BP/HSPA8/CLU/ANXA2/CTSH/CYB5R3
Down,iNOA_B,cytoplasmic vesicle lumen,GO:0060205,53,53/921,325/19550,1.96e-15,3.01e-13,2.27e-13,14.707743928643524,12.521433504406156,XRCC6/B2M/DBNL/PRDX4/PTGES2/SCCPDH/NEU1/GPI/DPP7/PSMA5/ARMC8/VCP/QSOX1/NIT2/PSMB7/DERA/CREG1/HEXB/PA2G4/PSMD11/PSMD13/CSNK2B/CCT2/CTSD/SERPING1/PGAM1/PSMD14/PGM2/TUBB4B/VAT1/HSP90AB1/GLB1/PRDX6/ACTR10/SDCBP/IMPDH2/CCT8/GRN/C3/CTSA/TUBB/EEF1A1/ILF2/TEX264/IDH1/NPC2/FTL/LGALS3BP/HSPA8/CLU/ANXA2/CTSH/CYB5R3
Down,iNOA_B,vesicle lumen,GO:0031983,53,53/921,327/19550,2.55e-15,3.13e-13,2.37e-13,14.593459819566045,12.504455662453552,XRCC6/B2M/DBNL/PRDX4/PTGES2/SCCPDH/NEU1/GPI/DPP7/PSMA5/ARMC8/VCP/QSOX1/NIT2/PSMB7/DERA/CREG1/HEXB/PA2G4/PSMD11/PSMD13/CSNK2B/CCT2/CTSD/SERPING1/PGAM1/PSMD14/PGM2/TUBB4B/VAT1/HSP90AB1/GLB1/PRDX6/ACTR10/SDCBP/IMPDH2/CCT8/GRN/C3/CTSA/TUBB/EEF1A1/ILF2/TEX264/IDH1/NPC2/FTL/LGALS3BP/HSPA8/CLU/ANXA2/CTSH/CYB5R3
Down,iNOA_B,primary lysosome,GO:0005766,32,32/921,155/19550,1.19e-12,1.05e-10,7.91e-11,11.924453038607469,9.978810700930062,LPCAT1/SURF4/PTGES2/DPP7/VCP/CMTM6/CREG1/HEXB/PA2G4/CCT2/LAMP2/TUBB4B/TMEM179B/LAMTOR1/VAT1/GLB1/PRDX6/ACTR10/RAB5C/SDCBP/CCT8/GRN/C3/CTSA/TUBB/PSAP/DDOST/NPC2/FTL/ANXA2/MGST1/CYB5R3
Down,iNOA_B,azurophil granule,GO:0042582,32,32/921,155/19550,1.19e-12,1.05e-10,7.91e-11,11.924453038607469,9.978810700930062,LPCAT1/SURF4/PTGES2/DPP7/VCP/CMTM6/CREG1/HEXB/PA2G4/CCT2/LAMP2/TUBB4B/TMEM179B/LAMTOR1/VAT1/GLB1/PRDX6/ACTR10/RAB5C/SDCBP/CCT8/GRN/C3/CTSA/TUBB/PSAP/DDOST/NPC2/FTL/ANXA2/MGST1/CYB5R3
Down,iNOA_B,ficolin-1-rich granule,GO:0101002,35,35/921,185/19550,1.55e-12,1.19e-10,8.97e-11,11.809668301829708,9.924453038607469,HSPA1B/XRCC6/DBNL/PRDX4/GPI/ASAH1/PSMA5/VCP/PSMB7/DERA/PSMD11/PSMD13/CSNK2B/CTSD/PGAM1/PSMD14/LAMP2/PGM2/TMEM179B/LAMTOR1/CTSB/COPB1/HSP90AB1/GLB1/CD55/ACTR10/IMPDH2/CCT8/EEF1A1/ILF2/IDH1/ATP6AP2/RHOA/HSPA8/CTSH
Down,iNOA_B,ficolin-1-rich granule lumen,GO:1904813,28,28/921,124/19550,3.09e-12,2.11e-10,1.6e-10,11.510041520575164,9.675717544702307,HSPA1B/XRCC6/DBNL/PRDX4/GPI/ASAH1/PSMA5/VCP/PSMB7/DERA/PSMD11/PSMD13/CSNK2B/CTSD/PGAM1/PSMD14/PGM2/CTSB/HSP90AB1/GLB1/ACTR10/IMPDH2/CCT8/EEF1A1/ILF2/IDH1/HSPA8/CTSH
Down,iNOA_B,fatty acid metabolic process,GO:0006631,53,53/887,390/18723,4.32e-12,1.14e-08,1.02e-08,11.364516253185087,7.943095148663527,THNSL2/HACL1/DECR2/ECHDC2/CRYL1/PTGES2/ACSL1/HADH/SCD/ASAH1/PLP1/DLD/AKR1C3/INSIG1/SCP2/ALKBH7/CBR1/ACAA2/ETFA/ABHD6/FABP3/ELOVL1/FADS1/ECI2/ACAT1/SLC25A17/ADIPOR1/HACD2/ANXA1/SCD5/PCCB/GPX1/PHYH/TECR/DEGS1/ALDH3A2/DECR1/GSTM4/C3/APPL2/LYPLA1/ELOVL5/ECHS1/CD74/HACD3/MSMO1/ACSM3/PDK4/HADHB/AKR1B1/ECH1/GSTA1/EPHX1
Down,iNOA_B,generation of precursor metabolites and energy,GO:0006091,61,61/887,490/18723,4.71e-12,1.14e-08,1.02e-08,11.326979092871104,7.943095148663527,FH/SLC25A4/DHRS3/CS/CIAPIN1/GHITM/UGP2/GPI/NIPSNAP2/MYC/ENO1/HMGCL/VCP/NDUFV1/ATP5F1A/FDXR/DLD/DERA/ALDH2/IDH3B/TALDO1/PGAM1/ETFA/PHB2/UQCRC1/UQCRFS1/GNPDA1/NDUFA10/QDPR/ACAT1/SDHA/UQCRC2/IDH3G/DEGS1/ATP5F1C/NDUFA9/AKR7A2/NDUFB5/NDUFS2/MT3/CYC1/IDH1/SDHD/STEAP4/PDHB/MDH1/ATP5PB/SDHC/TKT/PGK1/LDHA/RHOA/MDH2/STOML2/ATP5F1B/COX7A2L/CYB5A/FDX1/AKR1B1/HSD17B6/TPI1
Down,iNOA_B,secondary alcohol metabolic process,GO:1902652,30,30/887,147/18723,9.34e-12,1.51e-08,1.35e-08,11.029653123769906,7.82102305270683,SQLE/FDPS/ABCA5/SOAT1/HSD17B7/FDXR/IDH3B/SNX17/INSIG1/ACAA2/IDI1/HMGCR/IDH3G/LDLR/SCARB1/MT3/EBP/IDH1/NPC2/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/CYB5R3/CYP11A1/STAR
Down,iNOA_B,steroid biosynthetic process,GO:0006694,32,32/887,173/18723,2.97e-11,3.61e-08,3.22e-08,10.527243550682787,7.442492798094342,SQLE/FDPS/HSD17B7/ASAH1/DKKL1/FDXR/AKR1C3/HSD17B3/INSIG1/SCP2/ACAA2/IDI1/HMGCR/HSD3B2/SCARB1/EBP/HSD17B11/ERG28/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/AKR1B1/HSD17B6/CYB5R3/CYP11A1/STAR/CYP17A1
Down,iNOA_B,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",GO:0016616,27,27/906,124/18368,5.22e-11,3.9e-08,3.33e-08,10.282329496997738,7.4089353929735005,DHRS3/CRYL1/HADH/HSD17B7/DHRS7B/HIBADH/AKR1C3/HSD17B3/IDH3B/CBR1/RDH11/LDHC/HMGCR/IDH3G/IMPDH2/HSD3B2/LDHB/AKR7A2/IDH1/GRHPR/HSD17B11/MDH1/LDHA/MDH2/HADHB/AKR1B1/HSD17B6
Down,iNOA_B,"oxidoreductase activity, acting on CH-OH group of donors",GO:0016614,28,28/906,136/18368,9.35e-11,3.9e-08,3.33e-08,10.029188389127482,7.4089353929735005,DHRS3/CRYL1/HADH/HSD17B7/DHRS7B/HIBADH/AKR1C3/HSD17B3/IDH3B/CBR1/RDH11/LDHC/HMGCR/IDH3G/IMPDH2/HSD3B2/ALDH3A2/LDHB/AKR7A2/IDH1/GRHPR/HSD17B11/MDH1/LDHA/MDH2/HADHB/AKR1B1/HSD17B6
Down,iNOA_S,generation of precursor metabolites and energy,GO:0006091,33,33/411,490/18723,1.27e-08,4.78e-05,4.33e-05,7.896196279044043,4.320572103387881,ENO1/NDUFS2/ACADM/NDUFB2/CIAPIN1/QDPR/ATP5PF/COX5B/ATP5F1E/NDUFAB1/ATP5MF/BNIP3/AKR1B1/ASPH/COX7A2/UQCC2/SDHA/NDUFA8/COX17/PDHB/DLD/SUCLG1/TPI1/UQCR10/IDH1/ACAT1/ISCU/UGP2/COX7A2L/MT3/FDX1/CYB5A/HSD17B6
Down,iNOA_S,aerobic respiration,GO:0009060,19,19/411,189/18723,3.85e-08,5.83e-05,5.28e-05,7.414539270491499,4.2343314452409855,NDUFS2/NDUFB2/ATP5PF/COX5B/ATP5F1E/NDUFAB1/ATP5MF/BNIP3/COX7A2/UQCC2/SDHA/NDUFA8/PDHB/DLD/SUCLG1/UQCR10/IDH1/ISCU/COX7A2L
Down,iNOA_S,steroid biosynthetic process,GO:0006694,18,18/411,173/18723,5.18e-08,5.83e-05,5.28e-05,7.285670240254767,4.2343314452409855,CYP51A1/SC5D/AKR1B1/DKKL1/OSBPL3/SOD1/HSD3B2/EBP/SCARB1/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/HSD17B6/STAR/CYP17A1
Down,iNOA_S,electron transport chain,GO:0022900,18,18/411,175/18723,6.19e-08,5.83e-05,5.28e-05,7.208309350979882,4.2343314452409855,NDUFS2/NDUFB2/CIAPIN1/QDPR/COX5B/NDUFAB1/AKR1B1/ASPH/COX7A2/SDHA/NDUFA8/DLD/UQCR10/ISCU/COX7A2L/FDX1/CYB5A/HSD17B6
Down,iNOA_S,mitochondrial matrix,GO:0005759,31,31/432,480/19550,1.09e-07,2.47e-05,2.16e-05,6.962573502059376,4.607303046740334,HIBADH/GRPEL1/NDUFS2/ACADM/PRDX5/PDSS2/ATP5F1E/NDUFAB1/PPA2/SOD2/UQCC2/HAGH/GPX1/PDHB/TSFM/SOD1/DLD/SUCLG1/PCCB/ACAT1/ISCU/HADHB/ALKBH7/SLC25A5/PRDX3/ALAS1/HSPD1/HSPE1/ACSM3/FDX1/CYP11A1
Down,iNOA_S,P granule,GO:0043186,7,7/432,20/19550,1.48e-07,2.47e-05,2.16e-05,6.8297382846050425,4.607303046740334,SNRPG/PIWIL2/HENMT1/CARHSP1/TDRD1/DDX4/MAEL
Down,iNOA_S,germ plasm,GO:0060293,7,7/432,20/19550,1.48e-07,2.47e-05,2.16e-05,6.8297382846050425,4.607303046740334,SNRPG/PIWIL2/HENMT1/CARHSP1/TDRD1/DDX4/MAEL
Down,iNOA_S,secondary alcohol metabolic process,GO:1902652,16,16/411,147/18723,1.54e-07,0.000115724,0.000104893,6.812479279163537,3.9365765633760725,LIMA1/CYP51A1/SC5D/ABCA5/SOD1/EBP/IDH1/SCARB1/MT3/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/STAR
Down,iNOA_S,pole plasm,GO:0045495,7,7/432,21/19550,2.18e-07,2.73e-05,2.38e-05,6.661543506395395,4.5638373529592435,SNRPG/PIWIL2/HENMT1/CARHSP1/TDRD1/DDX4/MAEL
Down,iNOA_S,electron transfer activity,GO:0009055,15,15/425,126/18368,2.26e-07,0.000150891,0.000138889,6.645891560852599,3.821336663252256,NDUFS2/NDUFB2/CIAPIN1/QDPR/COX5B/AKR1B1/ASPH/COX7A2/SDHA/NDUFA8/UQCR10/COX7A2L/FDX1/CYB5A/HSD17B6
Down,iNOA_S,cholesterol metabolic process,GO:0008203,15,15/411,137/18723,3.48e-07,0.000218385,0.000197946,6.458420756053419,3.660777194909371,LIMA1/CYP51A1/SC5D/ABCA5/SOD1/EBP/SCARB1/MT3/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/STAR
Down,iNOA_S,positive regulation of telomerase RNA localization to Cajal body,GO:1904874,6,6/411,15/18723,4.57e-07,0.000238385,0.000216075,6.34008379993015,3.6227210753671155,CCT4/CCT6A/NOP10/CCT3/CCT5/CCT2
Down,iNOA_S,oxidative phosphorylation,GO:0006119,15,15/411,141/18723,5.07e-07,0.000238385,0.000216075,6.294992040666664,3.6227210753671155,NDUFS2/NDUFB2/ATP5PF/COX5B/ATP5F1E/NDUFAB1/ATP5MF/COX7A2/UQCC2/SDHA/NDUFA8/DLD/UQCR10/ISCU/COX7A2L
Down,iNOA_S,antioxidant activity,GO:0016209,12,12/425,86/18368,6.57e-07,0.000219714,0.000202238,6.182434630440219,3.658142269301464,PRDX5/SOD2/PRDX2/TXNRD1/MGST1/GPX1/SOD1/GLRX/PRDX3/MT3/GPX3/GSTA1
Down,iNOA_S,mitochondrial inner membrane,GO:0005743,30,30/432,495/19550,6.76e-07,6.77e-05,5.9e-05,6.1700533040583645,4.169411331314856,GRPEL1/APOO/NDUFS2/NDUFB2/ATP5PF/COX5B/ATP5F1E/NDUFAB1/MTX2/SLC25A39/MTCH2/ATP5MF/TIMM8B/COX7A2/SLC8B1/UQCC2/SDHA/NDUFA8/HSD3B2/UQCR10/HADHB/CABS1/SLC25A5/COX7A2L/HSPD1/MPC2/CLU/CYP11A1/TMEM70/STAR
Down,KS,generation of precursor metabolites and energy,GO:0006091,60,60/864,490/18723,4.8e-12,1.29e-08,1.13e-08,11.318758762624412,7.889410289700751,NDUFS1/MDH1/TPI1/LDHA/CCNB1/STAT3/SORBS1/CISD1/HMGB1/SELENOS/SUCLG2/NDUFB2/CYCS/IL6ST/MSH2/NNT/ISCU/GHITM/FDXR/SUCLA2/COX7A2/COX5B/AKR1B1/NDUFAB1/GFPT1/CIAPIN1/COQ10B/NDUFA4/NDUFA8/PARK7/ACADM/PHKB/NDUFA12/BNIP3/HIF1A/COX17/DNAJC15/IFNAR1/ATP5PF/ETFA/NDUFB5/ENO1/PDHB/ATP5F1C/SUCLG1/ACAT1/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/UGP2/COX7A2L/MT3/UQCR10/IDH1/FDX1/CYB5A/STEAP4/HSD17B6
Down,KS,energy derivation by oxidation of organic compounds,GO:0015980,46,46/864,318/18723,5.42e-12,1.29e-08,1.13e-08,11.266000713461613,7.889410289700751,NDUFS1/MDH1/CCNB1/SORBS1/CISD1/HMGB1/SELENOS/SUCLG2/NDUFB2/CYCS/IL6ST/MSH2/NNT/ISCU/GHITM/SUCLA2/COX7A2/COX5B/NDUFAB1/GFPT1/COQ10B/NDUFA4/NDUFA8/PARK7/ACADM/PHKB/NDUFA12/BNIP3/HIF1A/DNAJC15/IFNAR1/ATP5PF/NDUFB5/PDHB/ATP5F1C/SUCLG1/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/UGP2/COX7A2L/MT3/UQCR10/IDH1
Down,KS,aerobic respiration,GO:0009060,34,34/864,189/18723,7.83e-12,1.29e-08,1.13e-08,11.106238237942057,7.889410289700751,NDUFS1/MDH1/CCNB1/SUCLG2/NDUFB2/CYCS/MSH2/NNT/ISCU/GHITM/SUCLA2/COX7A2/COX5B/NDUFAB1/NDUFA4/NDUFA8/PARK7/NDUFA12/BNIP3/HIF1A/DNAJC15/ATP5PF/NDUFB5/PDHB/ATP5F1C/SUCLG1/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/COX7A2L/UQCR10/IDH1
