panel_celltype,group,gene,source_column
EC,AZFc_Del,ATP5PF,EC-AZFc
EC,AZFc_Del,ATP5PO,EC-AZFc
EC,AZFc_Del,ATP6V1D,EC-AZFc
EC,AZFc_Del,ATP8B2,EC-AZFc
EC,AZFc_Del,ATXN2L,EC-AZFc
EC,AZFc_Del,AURKAIP1,EC-AZFc
EC,AZFc_Del,B2M,EC-AZFc
EC,AZFc_Del,BACH1,EC-AZFc
EC,AZFc_Del,BAG1,EC-AZFc
EC,AZFc_Del,BAG3,EC-AZFc
EC,AZFc_Del,BAG5,EC-AZFc
EC,AZFc_Del,BAG6,EC-AZFc
EC,AZFc_Del,BANF2,EC-AZFc
EC,AZFc_Del,BAZ1A,EC-AZFc
EC,AZFc_Del,BCAP31,EC-AZFc
EC,AZFc_Del,BCL2L14,EC-AZFc
EC,AZFc_Del,BCL3,EC-AZFc
EC,AZFc_Del,BCLAF1,EC-AZFc
EC,AZFc_Del,BEX1,EC-AZFc
EC,AZFc_Del,BEX3,EC-AZFc
EC,AZFc_Del,BLCAP,EC-AZFc
EC,AZFc_Del,BOD1L2,EC-AZFc
EC,AZFc_Del,BPIFA3,EC-AZFc
EC,AZFc_Del,BRAP,EC-AZFc
EC,AZFc_Del,BRDT,EC-AZFc
EC,AZFc_Del,BRK1,EC-AZFc
EC,AZFc_Del,BST2,EC-AZFc
EC,AZFc_Del,BUD31,EC-AZFc
EC,AZFc_Del,BX119904.2,EC-AZFc
EC,AZFc_Del,BZW1,EC-AZFc
EC,AZFc_Del,C10orf128,EC-AZFc
EC,AZFc_Del,C10orf53,EC-AZFc
EC,AZFc_Del,C10orf62,EC-AZFc
EC,AZFc_Del,C10orf82,EC-AZFc
EC,AZFc_Del,C11orf65,EC-AZFc
EC,AZFc_Del,C11orf71,EC-AZFc
EC,AZFc_Del,C12orf10,EC-AZFc
EC,AZFc_Del,C12orf50,EC-AZFc
EC,AZFc_Del,C12orf54,EC-AZFc
EC,AZFc_Del,C12orf57,EC-AZFc
EC,AZFc_Del,C16orf82,EC-AZFc
EC,AZFc_Del,C17orf64,EC-AZFc
EC,AZFc_Del,C19orf24,EC-AZFc
EC,AZFc_Del,C1orf100,EC-AZFc
EC,AZFc_Del,C1orf115,EC-AZFc
EC,AZFc_Del,C1orf194,EC-AZFc
EC,AZFc_Del,C1orf43,EC-AZFc
EC,AZFc_Del,C1orf54,EC-AZFc
EC,AZFc_Del,C20orf141,EC-AZFc
EC,AZFc_Del,C20orf85,EC-AZFc
EC,AZFc_Del,C2CD6,EC-AZFc
EC,AZFc_Del,C2orf40,EC-AZFc
EC,AZFc_Del,C2orf73,EC-AZFc
EC,AZFc_Del,C2orf88,EC-AZFc
EC,AZFc_Del,C3orf22,EC-AZFc
EC,AZFc_Del,C3orf30,EC-AZFc
EC,AZFc_Del,C3orf38,EC-AZFc
EC,AZFc_Del,C5orf49,EC-AZFc
EC,AZFc_Del,C5orf52,EC-AZFc
EC,AZFc_Del,C6orf201,EC-AZFc
EC,AZFc_Del,C6orf89,EC-AZFc
EC,AZFc_Del,C6orf99,EC-AZFc
EC,AZFc_Del,C7orf31,EC-AZFc
EC,AZFc_Del,C8orf59,EC-AZFc
EC,AZFc_Del,C9orf116,EC-AZFc
EC,AZFc_Del,C9orf153,EC-AZFc
EC,AZFc_Del,C9orf24,EC-AZFc
EC,AZFc_Del,C9orf43,EC-AZFc
EC,AZFc_Del,CA2,EC-AZFc
