LC-OA,LC-AZFc,LC-INOA_B,LC-KS,LC_INOA_S
ELOVL5,NDUFS7,MOB4,UCHL1,APOO
C8orf33,ISLR,SLC48A1,NUMA1,MBNL1
SPPL3,AL078639.1,NSFL1C,COL18A1,TSPAN8
C11orf58,TUFM,PSMD14,IMMT,CDC42
HYOU1,PRDX3,SESN1,NFIA,PTS
ZPBP,GORASP2,QTRT1,PRRX1,NCAM1
SNX7,PCMTD1,UFM1,EEF1B2,TTC3
FAM122B,IDH3B,ROPN1L,SMIM30,EEF1E1
TGFBR3,ACO2,NUDT5,PHLDA1,ABCA5
ARPC2,MINOS1,PSMD10,FAM13B,FKBP7
TKFC,NONO,LCMT1,MAPRE1,ITGB1
SLC7A2,TMBIM6,IDH1,MAFB,PPM1G
ADRM1,HLA-E,FAM229B,EPCAM,CPM
RHOA,SRSF3,MTX2,RARRES2,MAGED2
,LONP2,ALDH9A1,TOMM34,DLK1
,IFT27,MANBAL,MORF4L1,CIAPIN1
,PSMD10,DLD,FMO1,GUCY1A2
,SEM1,NDFIP1,LIMA1,GSTA4
,MTCH2,CLU,CRISPLD2,PCDH18
,DYNLRB2,SRP9,ANXA2,VRK1
,R3HDM2,YTHDF2,DDX21,CYB5A
,POLR2L,NINJ1,BBS2,ZFAS1
,RBM18,RBM7,DDAH2,NRP1
,KTN1,CYB5A,CYBRD1,PPDPF
,SPATA6,ACAA2,CLIC4,OSGIN2
,NAE1,VPS72,XIST,SELENOW
,EIF1,PEX11B,RSPO3,UQCC2
,ATP5PB,NDFIP2,EIF2A,SUMO2
,NDUFC1,GDI1,ORC5,TMEM47
,NUDT3,CD55,CKS2,PTMS
,CORO1C,VSIR,MAOA,GOLGB1
,C3,MBOAT7,CNBP,CCDC80
,SLC39A6,PRKRA,RARS,EIF2S2
,TCEAL5,AP2M1,ETFA,NOTCH2
,ILF3,ERP29,LGALS3BP,LINC01681
,ITGAV,LDLR,MEST,TMEM97
,C12orf10,PON2,NES,SDHA
,STK31,SMIM7,TSFM,RNF24
,TTK,TMEM69,TIMP1,VAMP2
,PDCD6,POP5,PI16,PCCB
,TMSB10,HADH,SIPA1L1,PLS3
,CTSB,TSPAN8,TMEM47,HP1BP3
,STK24,ALDH6A1,CD47,GALNT10
,MTATP6P1,EFNA4,HNRNPA0,ISCU
,RSRC2,MT-ND6,PIK3IP1,RASSF2
,HIP1,ETFA,COL6A3,ERAP2
,YEATS4,TIMMDC1,ARHGEF28,GLRX
,SMARCD2,PA2G4,MORF4L2,MT-ND1
,NAP1L1,MLF1,LDLR,ARHGDIB
,AC025280.2,ATXN10,ATP1B3,CCT2
,PRAF2,HNRNPF,TRNT1,CD47
,PINK1,GPX1,PRKAR2B,C6orf48
,SOD1,LAMP2,SRP14,LPAR1
,ATE1,STT3A,ATP1A2,UCHL1
,TIMP3,TCP1,LARP4,SMAD5
,JAZF1,COPB1,RSU1,NID1
,ZNF711,CSDC2,JAZF1,AKR1C2
,INHBA,G3BP1,MARCKSL1,PFDN5
,TOX4,C3,WASF1,PTCH1
,RBM28,UBE2N,FBLN5,NTRK2
,SRP14,PDSS2,SLITRK4,GPNMB
,STUB1,SCFD1,RBPMS,RCAN2
,HSPH1,CBY1,PDHB,ID2
,CHID1,DGCR6L,RERG,CHSY1
,ITM2B,AP3M1,SPATA33,CHRDL1
,MPG,ATP5F1C,MYH11,SRSF5
,CLIP4,PJA1,SOX15,CNN1
,RAB7A,PSMD11,LYPLAL1,OST4
,NEGR1,GSTK1,FAM229B,CEBPD
,NUP35,AEBP1,JPX,NGLY1
,BUD31,SMIM20,SUCLG1,HELLS
,MYL6B,ZNF207,TMSB4X,FZD3
,LSM1,APEX1,SNHG7,COL5A1
,DSTN,HSD17B3,NRXN2,STMN1
,ARHGDIA,RRAGA,SPTBN1,RAI14
,CHODL,HEMK1,HADHA,TMEM37
,DAB2,SLITRK4,GNG11,SFRP1
,PCSK6,HIBADH,RIPK2,HSPH1
,SELENOK,ZNF32,DNAJB1,ELOVL5
,UQCRB,MED25,JUND,MPLKIP
,S100A6,UBE4A,R3HCC1L,NOP10
,GPX3,PLEKHJ1,CCDC167,CCDC167
,ARF1,CCDC69,SVIL,ADAMTSL3
,ELAVL2,BCAT2,CRTAP,SLC25A39
,PLXNC1,CS,TIMM8B,AKR1C3
,GSE1,SMIM30,ACVR2A,MAF
,PSMD7,LUM,SNHG9,EIF2AK2
,RAE1,POLDIP2,PSMD14,NUDT5
,SNED1,HEXB,TIMM17A,LY6E
,PAGE2,LDHC,LHX9,PDE5A
,LRRN3,FBXO7,ABCA5,CTSK
,SUSD3,ALG8,RHBDD2,F8
,NDUFB1,TMEM50B,CDKN1B,TPST1
,ACAT2,BCKDK,CDC42EP3,BMPR2
,PSMC1,PSMD13,DUSP10,CCND3
,DNAJB6,CDKN3,ATP5F1D,ENG
,GPRC5B,ALKBH7,LSAMP,QDPR
,FN1,PGM2,ZNF280B,GSTM3
,RAB31,PRNP,RHOB,TPI1
,GNA11,OSER1,DUSP23,CXCL12
,CD164,CCNH,POP5,MORN2
,FBLIM1,PDCD6,RCAN2,B3GALT2
,SERPINF1,PCCB,DDB1,HLA-A
,GUCY1A2,DERA,PTTG1,GLT8D2
,LDHA,PSAP,APOO,PTRHD1
,TRIM8,MPDU1,IER5,SNTB2
,SYCP3,EPS8,RAB1B,FGFR1
,GLIPR1,EMC7,SCFD1,EIF3K
,PFN1,LINC00844,COPZ2,ENTPD2
,FADS2,ITGA1,ZNF429,PSMG1
,ABRACL,WISP2,NAP1L1,KLF10
,EZR,SLC3A2,PPIA,SMARCA1
,FAM84A,FLYWCH2,CCNB1,SCRG1
,HIST1H4C,PRDX2,FOXC1,BSG
,CCSER2,CBR1,HBS1L,MTCH2
,FLII,PSMC6,APPL2,CLIC1
,CDKN3,C5orf15,GRPEL1,POLR2L
,CDK5RAP2,TMEM219,EIF4G3,MIR100HG
,NASP,TXNDC15,OSTF1,ASH1L
,DDX4,SEC23IP,ATP6V1A,KDELC2
,AHI1,DUSP10,KMT2A,MT-ND2
,HLA-DMA,PROCA1,CAPZA2,CNTN1
,SH3KBP1,NOP58,NDUFS7,SSR2
,COX7A2L,ARPC3,ADAM10,OLFML1
,USP22,SLC25A4,FAM104B,ZCWPW1
,GLRX,TUBA1A,ATP5MF,CAMK2N1
,MLF1,FTSJ1,SLC46A3,MT-TL1
,GSTA2,SLC39A7,YWHAE,COX7A2
,HMGCS2,HMGCS1,RERGL,SMS
,FDPS,FDXR,BTF3,PDSS2
,ABCA8,LSM4,SRM,CREB3L1
,PLP1,RAE1,EIF4G2,PHF8
,ZYG11B,PRKAR1A,SRPK1,PTEN
,CD151,ACAT1,PHGDH,LBR
,ANKRD13A,DRAM2,HSPH1,RRBP1
,FXR1,TPP1,ZBTB20,SRP54
,FBXW2,PSPC1,CCL26,MGST1
,FADS1,NRIP3,SNX4,ESD
,MYH11,MT-ND5,HSPE1,NME4
,SRSF5,SLC25A1,GTF3C6,SPDL1
,FHL1,ARMC8,COX17,IGKC
,LAMC3,FIBP,SRBD1,IGLC3
,TAB3,ACSL1,ADAMTS1,IFI27
,IL33,CLNS1A,IGFBP2,CPPED1
,CAP1,WBP2,QSOX1,KITLG
,DDAH1,ITSN1,SLC30A9,NT5E
,CCL26,IAH1,PLD3,LPP
,GNB1,CCS,SOD3,PJA2
,DKK3,UQCRC1,CSRP1,MYADM
,KIF3A,CFI,NPTX2,SRPK1
,BBX,BLOC1S2,PLEKHB2,STK33
,LYPLA1,MAEL,TCEAL4,TIMM8B
,KITLG,CDK9,SMS,G3BP2
,NKX3-1,CCT4,FAM98A,RAD17
,PHB,SAMD4A,PGM2,KIF3A
,HSP90AB1,FAM114A1,TRIM24,PHYH
,SMARCA2,PSMB2,PSME4,TOB1
,RANGRF,OLFML3,LGALS3,MYLK
,PDLIM2,HSD17B7,IFITM3,SLC39A10
,COL18A1,NXF1,ARHGAP18,SP3
,LHFPL6,GPR108,POMP,NACA
,SFRP4,DYNLRB2,TFRC,RXRG
,GSTA1,ECHDC2,EEF1E1,RERG
,TNFSF10,GRAMD1B,PPP1R14A,LAMB2
,H1FX,PRPS2,SH3KBP1,LDB2
,CCDC3,JAGN1,NOC3L,SLC38A2
,ACSM3,FAM92A,VPS26A,CNRIP1
,HSP90B1,GNPTG,NDUFB5,BTF3
,C6,PIH1D1,HSD17B3,SMARCA5
,ZDHHC19,MYDGF,TRUB1,EIF4B
,TPRG1,MT2A,AP1G1,PRAME
,SCN7A,MTCO1P12,ID3,HLF
,CPPED1,HMGCR,SOCS3,MCM4
,ISYNA1,LYRM9,CPSF3,ACADM
,PLEKHA4,NIPSNAP2,TAPBP,PDCD5
,CLU,SPTLC1,DDX1,NR3C1
,AKAP12,CCDC74A,RTL8C,TSHZ1
,LGR4,LXN,CAMK1,MAP3K20
,ATP5MPL,STN1,C6orf48,SRA1
,MGP,ZFR,CYB5R3,GRPEL1
,TMEM179B,EBNA1BP2,RSRC2,CCT5
,SON,KPNA2,VAMP5,PAK2
,ADNP,SDF2,SLC22A17,BHLHE41
,HLA-DRB1,RIPK2,CSDC2,BTG1
,CFH,SCARB1,AIFM1,FADS2
,ATP8B2,GNPDA1,ZNF160,LAG3
,MTND3P10,VMA21,MFGE8,NR1D2
,OMD,IDH3B,CFH,SPRY1
,SNORD3A,VCP,GPNMB,BCAP29
,CBX3,PIGC,ARHGDIA,COL14A1
,PRNP,PCOLCE,CCL2,SLC51A
,MT-ND2,COPZ1,ATP5PF,TCF23
,PTOV1,S100A10,DDX52,DDB1
,RCN1,RNASE1,45901,NFIB
,CMTM3,VAT1,CD74,CLK4
,MBD2,CEBPD,PRRC2B,CALM3
,NORAD,JKAMP,CAPNS1,IGHG1
,PDIA6,OTUB1,SLK,H6PD
,COL6A2,ISCA1,SESN1,IGFBP5
,SERPINA5,CAV2,AL138785.1,ATP5PF
,EMC10,SCCPDH,RBFOX2,COX5B
,CCDC91,TIMM17A,CALD1,SNX4
,FAM120A,UNC50,PHKB,ARHGAP21
,HSPE1,NCOA4,PNRC2,F10
,PSME1,EIF3D,ZCCHC24,TNFRSF19
,SNAP23,PAPSS2,MPG,JMJD1C
,SOX15,EI24,DCAF13,HLA-DPA1
,HOPX,TSTA3,NUCKS1,HIBADH
,NDUFA2,TMBIM1,VRK1,PLEKHB2
,TBCB,SOAT1,GNL2,SNED1
,MPRIP,FAM13B,CCDC85B,FGD4
,JCAD,COX6C,DDX24,CCND2
,ATP2A2,NQO1,TNFRSF19,STIP1
,KIF5C,KXD1,PFDN5,PGRMC1
,PBXIP1,PON3,HLA-DMA,PFN1
,MIR202HG,HLA-E,COL15A1,ALAS1
,MSMO1,CTNNB1,DCUN1D1,PHLDA1
,ZCCHC17,COPS3,ACADM,PALMD
,ATP5PD,SOD2,ACSL4,NBL1
,CNRIP1,EIF4G1,ATF3,SERF2
,CLN5,NOL10,CCT6A,SNHG7
,HLA-DRA,TRAPPC3,SPSB3,ATP5MF
,LEPR,SNRPB,RCN3,FGF7
,MT-TC,IZUMO4,NLRP1,PPA2
,MFSD1,ARPC4,CYB5A,AEBP1
,POLR2I,EEF1E1,DHX29,WASF2
,CDH2,HIST1H2AA,ENO1,ATPAF1
,AP2A1,NDUFV1,DNAJC15,COMMD10
,MCF2,RPP40,PAPSS2,EIF1AY
,C1orf54,LDHB,AKR1C1,NDUFS2
,PRRC2B,ATP6V1A,FSTL3,CGNL1
,HELZ,INSL3,TRIP12,YME1L1
,RPAIN,SH3KBP1,MRFAP1,CLDN1
,HEG1,TMEM50A,PTRHD1,TMEM106B
,IGF2-2,DBNL,UFM1,RBPMS
,ZC3H7B,ATP6V0B,SCARB1,MME
,ABI1,AAMP,LY6E,RHOJ
,COL14A1,HAGH,CCDC7,SNRPG
,GREB1,GPI,FKBP8,HHIP
,ANXA2,C1GALT1C1,NGLY1,P2RY1
,TCEAL4,DAP3,MTND4P12,EPM2AIP1
,CNN1,ELOA,MAGED1,IDS
,RBM3,SNCG,PROCA1,ANGPTL5
,PRELP,RNF44,ZRANB3,GSTM5
,LRP1,PSMB7,CLINT1,SMOC1
,FOXC1,COMMD7,H2AFX,HOOK3
,NRP1,TPRG1,TPM2,PEBP1
,RHOQ,TMEM222,PLOD2,NCL
,NFIA,SLC35C2,DAP3,LIFR
,AC116533.1,SCP2,ACTR3,MAP3K5
,SMIM26,GHITM,PAPOLA,VCAN
,FGF10,SETD2,MRAS,ANP32A
,HGF,FLOT1,TBC1D23,DLC1
,CUL3,ZC3H14,SMOC1,LAMC1
,NT5C2,ANKRD46,TMBIM6,KLF4
,YWHAB,GRPEL1,PEG3,HSF2
,CAMK2N1,ST3GAL4,HAGH,MTX2
,PEX5,SURF4,RALY,RCN1
,NOTCH2,TCEA3,TAF9,RNF150
,PERP,SRPK2,BAD,SCARA5
,NRK,FICD,SSBP4,CLMP
,MBNL1,UCHL1,SSBP3,ITIH5
,AGPAT1,TMED2,ORC3,CYP51A1
,UQCRQ,PSMB8,PTS,ETS2
,BST2,TBC1D23,SOAT1,SORL1
,YY1,TMEM14C,CAMK2N1,NDUFAB1
,TFPI,SNX17,ZNF358,PSMA7
,BMPR2,HAT1,FAM46A,FOXC1
,AEBP2,NECAB1,ACAA2,FAM46A
,FAM198B,ELP1,NDN,CD248
,SEC62,THNSL2,ACAT1,ARHGAP5
,ERBB4,CNOT2,PITPNB,ITGAV
,NR2F2,ZDHHC3,NDFIP2,GLOD4
,KDM5B,SRPRB,H1F0,HSPB6
,DAD1,PDCL2,WDR41,SMIM4
,CYB561A3,AC011503.1,IFITM1,GRB14
,PPIA,ATP5F1A,SMARCA5,POMP
,CRISPLD2,TMEM147,LHFPL6,GPX1
,FBXO11,DUSP11,NBN,CYP7B1
,PNMA1,RTRAF,COQ10B,ARL3
,TUBA1A,GSTZ1,HACD3,POLD2
,MIR4458HG,HSPA1B,CCDC90B,PPA1
,SLIRP,SAT2,ACSL1,CBX6
,IDH3A,PRDX6,C8orf59,PEG3
,TSPYL1,YIF1A,HTRA1,SMARCA2
,NCKAP1,ENO1,FXR1,FAM198B
,BOD1L1,POLR1C,RAD17,CUX1
,IRF2BP2,PPP2CA,TPGS2,SNHG8
,COX7A1,INSIG1,THRAP3,ITGB8
,RARRES3,MT3,FYTTD1,TXNDC16
,CCDC34,TMEM205,SHOC2,DEFB119
,COMMD6,PSMB4,BCL7C,DPYSL2
,HUWE1,TUBB4B,CYGB,QKI
,TAF7L,BEX4,LRRN3,EEF2
,,FDPS,SCN7A,NAP1L4
,,TGIF1,ALDH1A3,DPEP1
,,MT1X,OPTN,MT-TV
,,TMEM170A,AR,LRRC17
,,CRYZL1,MCM4,MARCKS
,,GRB14,NUDT3,ZKSCAN1
,,PIGT,STMN1,TXNRD1
,,GLRX3,TMEM123,NRXN2
,,LPCAT1,CEP295,EIF4G2
,,CD2BP2,ATP2B1,FNBP1
,,PSMA5,ELP1,BNIP3
,,DDX21,TUBB,EFEMP2
,,SPACA9,IFI27,APOL6
,,FADS1,VAMP2,ILF2
,,CIAPIN1,DIO3OS,SSR3
,,RTN3,PDGFRL,ATP5F1E
,,MYLK,NDUFA8,AKR1B1
,,PLEKHB2,EMILIN1,ARID1B
,,ANAPC16,MTIF3,PHGDH
,,CAPG,IFNAR1,ADAM12
,,GNG2,REXO2,TRIO
,,HIST1H2AC,ARL6IP5,ZFX
,,GSKIP,IQCG,CAV1
,,TSTD1,EFEMP2,HGF
,,FHL2,KLHDC2,ZEB2
,,SMARCA5,AP3S1,CCDC34
,,SRSF7,CREM,RSPO3
,,IL32,NME1,HNRNPUL1
,,NAE1,FAM114A2,TOMM7
,,TOB1,PTEN,RNF168
,,NONO,SMDT1,NEO1
,,SNX8,NME4,G0S2
,,TRIM36,DDX10,EIF3H
,,TMEM248,ALDH1A1,TAX1BP1
,,ZFP36L2,C1orf54,MSC-AS1
,,FABP3,ID1,SPATS2L
,,HSPBP1,PRRC1,EWSR1
,,BUD23,NR4A1,KRT19
,,LDOC1,AEBP1,HSP90B1
,,CSNK2B,CCL4L2,ADAMTS5
,,SNX24,CA11,CIRBP
,,RNF38,CSDE1,XIAP
,,PHF7,SUMO1,SLC40A1
,,FH,COL1A1,APOBEC3G
,,AAGAB,SCML1,NSA2
,,P4HB,BEST1,COPG1
,,RBM47,PALB2,OLFML2B
,,ASAH1,RIOK3,ENO1
,,TBX3,SRA1,DERL2
,,SLC39A6,CCT8,RGS2
,,FOXO4,PSMB6,SOX9
,,EIF3G,GOLGA5,HMGN3
,,SLC38A2,NNT,PLEKHA4
,,CCT2,HSD11B2,TACC1
,,BRWD1,LSM4,VCL
,,RSPRY1,RGS22,DYNC1H1
,,RPA1,CD302,SCN7A
,,LRPAP1,POLR2L,CCT3
,,POLR2B,CERS2,IDI1
,,OGFOD1,FKBP1A,UBTD2
,,IDI1,AC116533.1,NNMT
,,PTGES2,TSC22D1,IDH1
,,CMTM6,EIF3F,AC007969.1
,,UGP2,ATP5ME,MORF4L1
,,MPC2,ATXN7L3B,CCDC90B
,,VCAM1,NR1D2,KIAA1324
,,IMP4,KCTD12,EEA1
,,C11orf71,TRBC2,SESN3
,,CST3,RALGPS2,SYNE1
,,PBXIP1,SPDL1,UBE2N
,,HLA-B,HNRNPU,NDUFA13
,,C12orf10,SUCLA2,HMGN5
,,WNK3,TMEM50A,LINC00485
,,TCTN1,ATE1,AK3
,,TMBIM6,CFI,45911
,,GTPBP4,CCL4,ERRFI1
,,CLPTM1L,MRGPRF,ARL4A
,,IFI35,TPST1,TAF9
,,POLR2K,COX7A1,VGLL3
,,VRK3,IARS,ELOC
,,LINC00467,LAMTOR2,NUDT11
,,MRRF,CEBPB,BPTF
,,EXOSC7,PSME1,CITED2
,,SLC29A1,CCT3,JAK3
,,CLK4,ZFR,TGFB3
,,C3orf38,HSF2,GLO1
,,TMEM64,IDI1,TCEAL9
,,ARFIP1,SNHG25,CMC2
,,THSD7A,PDSS2,ASPH
,,EMD,ZFAND6,NDFIP1
,,BLCAP,HES1,CAVIN1
,,PRDX5,SDHAF3,FXR1
,,TCTN3,TSPAN8,CDKN1B
,,PEG3,PEAK1,STOM
,,TPM4,SNAI2,SLC44A1
,,TEX30,CARHSP1,CHD9
,,TRAPPC4,GNAI2,TPRG1
,,ARL4A,CAVIN3,MYC
,,CHRDL1,GOLGA7,ROBO1
,,GADD45G,CKAP5,ATP6V1A
,,MAD2L1,IER5L,ADAMTS1
,,SQLE,SLC25A17,EZR
,,FTH1,PAIP2,LRRK1
,,GTSF1,SMIM20,IFI44L
,,LIMK1,ERAP2,45909
,,ABCA5,RCN1,OSR1
,,HLA-A,WBP11,OCIAD1
,,RUVBL2,FBXO2,CLEC3B
,,DKKL1,CHCHD2,TM9SF3
,,TMEM97,CNRIP1,COL4A5
,,FAM71E1,ATF4,HMGN2
,,SREK1,RAB2A,GAS5
,,LIPA,COPG1,DCUN1D1
,,MFSD1,USP15,LIMA1
,,SAMM50,CBX6,PHACTR2
,,ATP6V0E1,DNM1L,DDX21
,,MCRIP1,SORBS3,COX7A1
,,ALG14,HSD17B11,STEAP4
,,MYL12A,GNB2,CTDSPL
,,SECISBP2,HIF1A,CPNE3
,,SCD,NPDC1,MINOS1
,,PRPF19,CYHR1,SH3BGRL
,,HIBCH,TBX2-AS1,PTAR1
,,JPT1,SH3YL1,SLC16A4
,,KIAA0100,EFS,TROVE2
,,TSPAN5,HLA-DRA,SELENOP
,,TPM3,P4HB,TOR1AIP1
,,CRYL1,TGFB1I1,VIT
,,FAM96A,TCF4,TAOK1
,,GFM1,VPS51,YWHAE
,,HACL1,PNPLA8,MUSK
,,TMBIM4,TMEM179B,COL12A1
,,BIRC2,UBTD2,NFKBIA
,,PLSCR4,TBX2,RGS5
,,AOX1,TRIR,EDNRB
,,TNFSF10,TSPAN5,PRDX2
,,SPTBN1,GLOD4,LINC02388
,,COL14A1,PLA2G16,SEC31A
,,GALC,TMEM183A,PTN
,,RBM18,CCDC91,ABCA9
,,GABARAPL2,EIF5B,CD302
,,DECR2,CSE1L,ATF7IP
,,DDX5,LTN1,MT-TY
,,CPSF3,PALMD,ZNF91
,,RNF141,KDELC2,PLOD1
,,AKR1C3,TXN2,NFE2L1
,,AFF1,HNRNPM,MRFAP1
,,PLOD2,DBI,MYH9
,,NEDD1,AASDH,TRUB1
,,DCUN1D1,RFTN1,CPSF3
,,FBLN2,RILPL2,SERPINH1
,,MYL9,FBXO17,MSN
,,ARPC2,TNFSF12,SETD7
,,DHRS3,IL1R1,CSRP1
,,FHL1,SDR39U1,RAB8B
,,SRSF11,GTF3C3,LIMS1
,,FXYD6,AC005912.1,LEPR
,,EIF1,KIAA1586,RNF19A
,,GGNBP2,SRSF11,HDLBP
,,B4GAT1,CEP41,UNC5C
,,SPRR2B,COX5B,HOXD8
,,RAN,SUMF2,ZNF680
,,CRLS1,NDUFAB1,ATAD2
,,EEF1A1,TJP1,TET1
,,HSBP1,KRBOX1,ATG12
,,UBR2,RANBP9,MXRA8
,,CAPZB,VDAC1,ITPRIPL2
,,TRDN,PINK1,TCF7L2
,,SNHG3,LINC01578,SPAG9
,,SUMO2,PGRMC2,HNRNPA3
,,RNF168,MAP2K2,ERAP1
,,FTL,UBXN1,ZRANB2
,,MT-ND2,NFKBIA,DIXDC1
,,PRDX4,STIP1,SUMO1
,,ACTA2,MED25,EXT2
,,IER2,PSMD12,SERINC1
,,B4GALT7,CDC42SE2,UBE2B
,,PEBP1,SLC9A3R2,GINM1
,,DVL2,TTC1,RAB31
,,DSTN,PSMD1,CCT4
,,C1S,STAU2,PRPF8
,,PDE5A,TMED1,FMNL2
,,IFITM3,PCGF2,SQSTM1
,,TFPI,MZT2B,SLC22A3
,,ALAS1,TBPL1,GPX8
,,ELAVL1,RDX,HSPA1B
,,GLRX,SIX5,C6orf89
,,G2E3,TMOD3,AKAP6
,,CDKN1A,NFE2L1,FAXDC2
,,RHNO1,TRMT6,MAP9
,,SON,CLIP1,SLC25A6
,,STMN1,KLHDC8A,RSU1
,,BAG4,EPB41L4A-AS1,PCAT19
,,DCAF6,ALDH3A2,PARVA
,,MAGEA4,ARPC5,MOB1A
,,XRCC6,SNAI1,GADD45B
,,TPM2,HIC1,EIF5
,,OGN,VWA1,SETBP1
,,HMGN3,AC027644.3,NPDC1
,,FAM133A,SFRP4,PHIP
,,NIP7,NCBP1,PRDX5
,,MT-ATP6,HNRNPA1P48,PEMT
,,H1F0,TNS2,SGCD
,,HSP90AB1,SDAD1,KIAA1143
,,OSMR,HLTF,CASC4
,,HENMT1,ABHD14A,NAE1
,,QSOX1,CLK4,EHD2
,,TCEAL9,OST4,STAG1
,,SRPX,AP2A1,LINC01697
,,SAT1,NEXN,ANK2
,,MT-ND1,CCNH,WFDC1
,,RACK1,PSMB7,C4orf3
,,PRELP,GGCT,CANX
,,MYC,TUBG1,PKDCC
,,RAB31,ADIPOR2,NEURL1B
,,SVIL,PRKDC,FATE1
,,JUNB,TUBB4B,IKBIP
,,STAU2,IER3,GSE1
,,ETS2,CISD1,SEMA3C
,,S100A6,EHD2,SAMD9L
,,MGP,NID2,CALU
,,SKP1,PIR,PROS1
,,C21orf91,ITPRIPL2,NDUFB2
,,TM4SF1,ZNF518A,PLD3
,,FMR1NB,PURA,H1FX
,,IGF2,EVA1B,ATP1B2
,,DPEP1,LIX1L,KCNMB1
,,PLP1,NDUFA12,CBX5
,,HSP90B1,PTBP3,TMSB4XP4
,,COX7A1,COX7A2,MAP1A
,,NUPR1,C12orf4,CHD2
,,KRT17,CCL3L1,FOXN3
,,DYNLL1,TANC1,MFGE8
,,MYL12B,RAN,ARX
,,HIP1,CD9,SCAF11
,,RARRES3,PID1,ATP1A2
,,RASSF2,CKLF,RTL8C
,,TXNIP,AMZ2,PLAGL1
,,ALDH1A3,EIF3H,RBPJ
,,LY6E,YEATS4,MITF
,,MTRNR2L1,DYNLT1,SFT2D2
,,MT-ND4L,BROX,ADNP
,,FBLN5,DPP7,C3
,,ANKRD7,SLC40A1,MTDH
,,MTATP6P1,LAMB1,FKBP1A
,,RCAN2,EXOC1,MRC2
,,NDUFA4,PARP1,IFI27L2
,,ABLIM1,NAPG,HELZ
,,KANK2,EMD,CKAP4
,,PDGFRA,STK33,MID1
,,CAPN6,DYNC1LI1,SERTAD2
,,HSPE1,PSMD10,WWTR1
,,DDX4,NOTCH2,SLK
,,COL1A2,HIBCH,ABHD2
,,IFI27,EIF1AY,PSME1
,,CLDN1,IL32,FAM13A
,,LRP1,EBF1,SOD2
,,DLK1,CD248,PRKCA
,,VCAN,TIMM23,PODN
,,MYL6,FKBP7,FRG1CP
,,HMGN2,PLP2,HIP1
,,PAGE2B,OS9,SHISA4
,,NEXN,CCDC80,UQCRB
,,DAZL,MMADHC,OGFRL1
,,HP1BP3,WBP4,PPM1L
,,LAMA2,ATP5F1C,IFI16
,,TIMP2,GAS5,AIG1
,,VIM,PPA2,CREB3L2
,,ANXA1,GPBP1L1,LRIG3
,,PLEKHA4,TSC22D3,ZFPM2
,,FN1,MAZ,UGCG
,,PTMS,ARX,TOMM20
,,IGFBP3,TSG101,BRWD1
,,COL15A1,FNBP1L,SERBP1
,,B2M,SDCBP,ETV1
,,AHNAK,RANGRF,ARHGAP28
,,LCA5,MT-TW,APOBEC3C
,,SEC62,TRIM8,SOBP
,,ARHGAP18,HSPG2,CCDC3
,,AC007969.1,FAM76A,ARHGAP10
,,PLAC9,CCDC3,CITED1
,,DDX17,SRSF5,ENC1
,,MYOZ3,MAP1B,NET1
,,TPM1,EMC10,CRTAP
,,BST2,SERPINH1,TSC22D1
,,SMOC1,MTRNR2L1,COLEC12
,,INSR,SGCE,MAVS
,,TCEAL4,ITM2A,FHL3
,,TTLL7,ATP5MC1,FAT1
,,DPYSL3,NAP1L4,FTX
,,USP15,OLFML1,ZYG11B
,,CCDC25,PSMG1,IMP4
,,TTC3,PHB,FNDC3B
,,KIDINS220,HOXD8,RAMP2
,,SFRP4,ADM,GNAI2
,,SLTM,PPP1R7,PTGIS
,,ENAH,SRSF2,HSPB1
,,MSRB3,SPACA9,LHFPL2
,,PLA2G2A,GNG2,EMX2OS
,,MT-TV,ZC3H15,CCT6A
,,SLC25A36,MXRA7,C11orf54
,,YBX3,APLP2,CCDC85B
,,MESD,PKDCC,SC5D
,,ETV1,IPO7,SYNPO2
,,TKTL1,COL5A1,STXBP4
,,SYNGR1,COLEC11,TRPS1
,,RAD23B,GRINA,TRIM22
,,SLF2,RBM3,SH3PXD2A
,,ECPAS,45907,IFT43
,,PRPF4B,HSF1,KLHL28
,,ABCA8,SH3BP5,ATRX
,,MORF4L1,BOC,C16orf45
,,NDUFB8,KRT19,APOA1
,,BRD8,PIK3C3,PEAR1
,,SRSF4,LARS,FAM171B
,,SYTL2,UBA52,SYNGR1
,,SMDT1,IDS,TCEAL8
,,RANBP1,NDUFA4,MSC
,,RHOQ,ANXA5,RNF13
,,MAGI2-AS3,LRP10,PYGO1
,,TRIP11,DZIP3,EIF3E
,,DMD,AC103591.3,LTBP3
,,CCNI,MYOC,PDS5B
,,BRI3,MAF1,ANKRD35
,,CPE,S100A10,PAK3
,,SMIM37,UQCRB,GLG1
,,45902,TPP2,ATL3
,,IVD,ZFYVE21,CLIP3
,,NEO1,SUB1,HNRNPD
,,RALBP1,ESF1,YY1
,,TSR2,TOPBP1,ASB13
,,SEL1L,NT5C,GAMT
,,MED29,ARPC2,ACSS3
,,PBX1,STAM2,NAALAD2
,,HPF1,HNRNPUL1,ZCCHC24
,,ITIH5,PCDH9,LIX1L
,,N4BP2L2,FILIP1L,MAX
,,NSRP1,DBP,FRMD6
,,NDUFA2,FOPNL,SLF2
,,SOX4,UBXN4,ZEB1
,,IMPACT,TM9SF3,NFAT5
