LC-OA,LC-AZFc,LC-INOA_B,LC-KS,LC_INOA_S
C5orf58,PPP2R1A,ARPC1A,PPP1R2C,MT-ND4L
NDFIP1,AC115223.1,TUFM,PLPP3,AVPI1
STAR,HSPA8,DNASE1L3,ACSM3,CD244
GPX3,MT2A,CAPZA3,H3F3B,MTATP6P1
FAM198B,FAM19A3,RHBDD2,AFF2,ACSM3
DEXI,C1QBP,SEC13,CAPZA3,SPTBN1
PTRH1,CLDN11,SELENOF,UBC,SERPINE2
MPG,CEBPD,ELP5,SPATA3,COL1A2
PDIA6,MAGEB2,KRT18,DPEP1,EFNA1
AC010642.2,DHCR24,PIR,TIMP2,NSG1
C8orf59,DIRAS3,ATP6V0D1,EFEMP1,CCDC54
DCX,HACD3,GRHPR,TIMP3,ABCA17P
AC005912.1,NUPR2,MDH1,AC010255.3,PLAC9
APH1B,AP1S1,AUP1,CHRDL1,PDGFRA
SLC16A7,TMEM41A,CTNNAL1,TPT1,ELAVL2
NDUFA2,TECR,SPG21,IGF1,FAM71E1
PSMC1,MAOA,C1R,IER2,CTNNAL1
SUN2,MT-ATP8,TMEM9B,ITLN1,IGFBP7
ACSM3,KIAA1210,ATP6AP2,SCD,DKKL1
SCD,TPI1,STAR,IGFBP5,NUSAP1
SERPING1,CAPZA3,THRAP3,DCAF4L1,CCDC69
SULT2A1,MT-CO1,NDUFS2,EGR1,MT-ND5
SPATA8,ZNF836,RAB34,TDRD1,ISLR
IMPAD1,CPVL,CD151,S100A16,LGALS1
AC010325.1,DHCR7,MT-ATP8,MAEL,FTL
ACTB,PHF7,ATP1B3,MT-TE,IGF2-2
HSPB6,C1R,AKR7A2,CPM,EEF1A1
LDLR,DNASE1L3,CFL1,DDX4,CENPU
HDHD2,GPX1,SLC25A39,PAGE1,RAB3IP
EMC6,DUSP23,SDCBP,FAM133A,AL365357.1
NDUFA7,THRAP3,TMEM59,PDCL2,INHA
FMC1,TNP1,TSPAN4,NUPR2,UBC
ZFP36,TMCO5A,DDOST,LINC01681,MT-ND4
MT-RNR1,KRT18,HEBP1,CPE,CTSA
BCAT1,S100A16,ACTG1,HSPA1B,SAMD4A
LDHC,PRND,ILF2,SYCP3,FABP3
DHX32,TRUB2,ATP5PB,FMR1NB,BST2
DDAH1,DDT,ACSM3,TMCO5A,CPVL
MT-TI,DCN,NDUFA9,ID2,COL15A1
PINK1,SLC25A39,PDHB,MT-CO1,PIWIL2
LGALS8,ANGPTL1,EXTL2,GSTA2,KPNA2
TSPAN8,COL1A2,NDUFB5,GRAMD1B,CD55
PRDX3,NHP2,FDFT1,GSTM5,CALD1
TCEAL4,HSPB1,TKT,MLF1,NRIP3
ANKRD7,PEPD,GAGE12H,VCX3A,MT-ATP6
C1orf43,FATE1,TPPP2,CCDC54,SLC16A9
RETREG1,AC005912.1,BSG,CPVL,SPINT2
SNHG16,TXN2,HERPUD1,GSTA3,ZFP36L1
BUD31,HADHA,TSPAN3,MT-ND4L,NFIA
FOSB,SOD2,EGFLAM,OAZ3,PRRX1
AL078639.1,GTSF1,LHCGR,TPPP2,STAR
AC092069.1,PLEK2,KLHDC3,ACTA2,GLUL
PGRMC1,AAGAB,FAM19A3,MSMO1,MAP1B
SPA17,CITED1,ANAPC13,ROPN1L,MT-CYB
MT-ND1,CPM,EIF3M,PODN,MT-CO3
UBE2QL1,TUBA1C,FDX1,MT-RNR2,SGK1
ABO,NFKBIA,SLC40A1,MAGEA4,OGN
TMEM245,PAIP2,CCND3,PAGE5,FDX1
DYRK2,BEX1,TMEM98,HIST1H2BA,NEGR1
CD99,ERICH2,APH1A,STK31,C1S
MCL1,TCEA3,PLEK2,MALAT1,PTTG1
ACSL6,SGK1,SLC25A11,MAP7D2,ADD3
NUDT3,SH3BP5,CYC1,AC011503.1,CRISPLD2
PET100,OGN,TMEM37,PRDX1,MT-CO1
KRBOX1,HSPB6,MTCH1,IGF2-2,TEX15
BBIP1,MGARP,CTSL,CST3,PNRC1
COX6A1,ACVR2A,ISOC1,EEF1A1,COL6A3
IGFBP5,HSD17B11,ELOVL5,TRIM36,ANXA2
TMEM179B,SQSTM1,RHOA,COL6A1,MLF1
MRNIP,BOD1L2,STRAP,NOP53,CCL26
PEG3,GPX4,GSTM4,KNL1,COL6A2
GNAS,FKBP1A,ACTB,KPNA2,PRSS23
GSTA4,STIP1,OSTC,UQCR10,TSTD1
ZYG11B,AES,CYP17A1,NDRG2,CST3
TPM2,ALKAL2,SPINT2,DCAF4L2,CD99
TPM4,LIMA1,RAD23A,SLC25A6,S100A16
ZNF593,SECISBP2,SELENOT,HLA-C,CARHSP1
ROM1,TMEM37,TMSB4X,RCBTB1,NFE2L2
MCFD2,TBX3,IGFBP7,SELENOM,PROCA1
MRC2,SRSF9,ACTR10,SGK1,CILP
