EC-OA,EC-AZFc,EC-INOA_B,EC-KS,EC_INOA_S
,C2CD6,EIF5A2,FAM69B,PSORS1C1
,FAM114A2,BAZ1A,PP2D1,VRK3
,SETD9,HERC2P2,CD99,PABPC1
,C2orf73,FUNDC2,APP,GNAI2
,PPP1R36,PSMD8,AC097375.2,ADM5
,SRPK1,EIF3F,SDR39U1,ERAP2
,FKBP5,CCDC126,LMNA,MAPK10
,BAG5,GNG2,ACRV1,CNN1
,IFITM1,ARHGAP31,TTC39A,MGST3
,SLC2A3,GOLGA7,C1orf100,TIPARP-AS1
,GIGYF2,MED21,CLSTN1,CA2
,CYYR1,ARPC1A,SOCS3,ZNF385D
,RNF17,FAM107A,WASHC3,RBM3
,NOSIP,SETD9,TEX48,ESAM
,EFCAB1,MKRN2,EEF2,ITGB1
,BAG1,SSX2IP,ZFP36L1,FNDC4
,RFTN2,DEGS1,HLA-DQA2,TLN1
,CLK4,LTA4H,SPSB3,CPXM2
,PFKP,IGFBP4,AC104971.2,CRNDE
,AMZ2,SERTAD1,SGK1,ADGRL4
,ASB17,LCA5L,SPINK5,PLCB1
,ANKEF1,C2orf88,C8orf59,PPP4R1L
,AKAP1,SPANXD,SSX2IP,ATP1B3
,STPG1,FANCD2OS,CTSA,AL591846.1
,TNFRSF1A,ZFP36L2,SNORD3A,TAF9
,TPP2,BANF2,ZFAS1,RGCC
,AURKAIP1,LINC01350,FBXO39,LRTOMT
,SERF2,PRR13,MGP,CDH13
,TMEM255B,HNRNPF,NUDT3,KNSTRN
,RBBP8,RAB11A,ISG20L2,SLC25A37
,TIMM50,NME5,HES1,TPD52L1
,NFKBIA,ATP6V0D1,NENF,MT1E
,PHKG2,RNF141,LY96,GPX3
,DYNLL1,BRIX1,MT-ND2,KPNA2
,C12orf10,RHOA,FAM129A,CCDC110
,LCN6,RNF114,BGN,RETREG1
,FUBP1,POLB,45726,FUZ
,SAT1,NUDT21,PRSS58,GSKIP
,CBX3,ARL4D,C2CD6,IGHG1
,SPATA17,LUZP1,LRRD1,CLK4
,DRG1,ALDH3A2,LAMB2,CBX6
,CLPP,BCL2L14,CSNKA2IP,CCDC115
,SPATA46,TEX51,TXNDC2,CEP85L
,AC093752.1,NRAV,PDXK,HSPA1B
,VCP,ZBTB20-AS1,ASB17,DPCD
,DHX57,AC140479.4,LINC01304,CENPK
,DYNLRB2,AL596275.2,C6orf201,DEFB119
,SERPINB6,MAP3K14-AS1,COL18A1,CD59
,PPP1R32,AL355357.1,SPATA17,PSME2
,PITRM1,IRGC,TWF2,GNAQ
,GABARAPL1,ERICH2,IFI16,ELK3
,TTC39A,DNM3,BAD,MT-TY
,ILK,TRIM69,MT1E,ODC1
,DAAM2,CYB5R2,MT-TW,TEX30
,TAF9,MFSD1,SMTN,MARCKS
,NDUFV3,MTFR1,CD151,MEOX1
,IPO5,GSKIP,SMAD1,TPM4
,SRSF5,COPS3,CERS2,HLA-A
,AES,UFM1,ZYX,AL445524.1
,MT-ND4L,RAN,ABHD17A,EMP3
,PSMA7,IAH1,MORN5,IFIT2
,DNALI1,SPARC,HYI,APOBEC3C
,PTP4A1,BCL3,HLA-DQB1,AZIN2
,RN7SL2,LRTOMT,ARL4A,H2AFJ
,LARP1B,PDLIM1,HIST1H2BA,FTH1
,NDUFAF3,RPRD1A,USP2,GNAS
,ABCC4,KIAA0586,HRASLS5,HMGB1
,BRAP,STARD3NL,SLIT2-IT1,FAM92A
,ANKRD29,G2E3,C7orf31,TRIM56
,CALCOCO2,FNDC4,NRN1,SELE
,HRASLS5,TEKT3,AL157756.1,BGN
,CAVIN1,CLPP,GNAI1,CARHSP1
,DNAJC2,SEC13,OS9,FXYD6
,BCL3,ENG,RPGRIP1,ALDH1A1
,C11orf65,EMC3,DUSP1,CHURC1
,SPANXD,PCYT2,MPG,IGFBP5
,ACTRT3,EIF4H,SLCO2A1,NRDC
,ATP5PD,STRAP,MORN2,CNBP
,TNFAIP8,FAM46C,JPX,ARL4A
,PRELID1,FLOT1,SPATA4,ESS2
,DDT,MMADHC,NDFIP1,FHL5
,GPX4,UBE2J1,KLF4,CTSZ
,ZNF385D,GTPBP4,HSPA2,PTTG1
,HERC2P3,GIMAP2,ZNRD1ASP,ISCA1
,DPCD,ZPR1,CYB5R2,FOXP1
,ZPR1,TFG,AC010325.1,IFT57
,RANGAP1,RNF32,TRIM56,PRKAR1A
,VARS,MLF2,CHMP4B,HENMT1
,JPT1,HMGB1,PSAP,ARPC5L
,TRIP12,HSP90AB1,PRRC2B,FILIP1L
,PDCL2,ZFP36,ABCA17P,KHDRBS1
,DSTN,TMBIM1,AC008038.1,SERPINF1
,SPAG17,NELFE,REX1BD,JUP
,ZNF608,SIRPD,TKTL1,UACA
,HSPA1B,PRR30,GPR146,BCAT1
,NASP,TRIAP1,TAF9,KLHDC9
,G2E3,ERI3,PPP3R2,NORAD
,CCL2,AL359853.3,MCAM,STMN1
,RUVBL2,AC092666.1,EPB41L3,C2orf40
,AC092070.2,IZUMO2,TBC1D21,ZKSCAN1
,PAXX,BX119904.2,VRK3,ANXA1
,COX6A1,TEX53,HENMT1,THBS3
,SCAMP2,ATP6V0E1,CPXM2,DANCR
,GSTA1,LRPAP1,AC005912.1,EPB41L3
,C9orf116,VWA3B,LDB2,IGLC3
,HAGLROS,SDF2,SPAG17,ITGAE
,PPP1R2,COPS8,AQP1,GNB1
,HLA-DMB,GIMAP7,ERICH2,SPTAN1
,PPP1R7,EIF4E,JCAD,GID4
,HDLBP,WDR1,SETD9,PHKG2
,MAD1L1,TGFBR3,CHCHD2,FAU
,SPANXN4,NSMCE1,IL32,FAM111A
,UPF2,HOOK1,IGF2-2,LARP1B
,C1orf43,RAB11FIP4,TPI1,KDR
,CA2,CTSB,CAV2,CAPN2
,SERTAD1,BTG2,TSC22D3,HES1
,SPTLC2,NPC2,CD9,S100A13
,CEP57,NBAS,FLII,MYLK
,BAZ1A,EMP2,AC116533.1,MTUS1
,PRND,ZBTB1,NUDCD1,LAMA4
,MT-TP,TECR,NDUFA12,LRRC8C-DT
,CCDC126,GSN,RRAS,IL32
,LAMTOR1,ATRAID,CTHRC1,CELF2
,MOSPD3,SPATA6,LDHB,RAD17
,SPATA22,DNAJC4,BCAT1,TAGLN2
,HSPG2,PRAF2,TMEM210,PDE1A
,COX5A,BRDT,CCL4,FAM213A
,ZC3H14,ARL2,CFD,SMAD5
,CALM1,EHD1,P4HB,SECISBP2
,MPLKIP,SURF4,RABAC1,SOX4
,AP3M2,SLC25A39,CEP170,TUBB
,LRRC6,RBP7,ADGRA2,GSTA1
,DHX29,FUNDC2P2,NRIP3,DGCR6L
,GPI,PHKG2,CAP1,PPP1R36
,ELK3,HYPM,HSF1,CX3CL1
,CEP350,SPATA3-AS1,ZBBX,ITGA6
,TMEM179B,LINC01676,MACROD2-AS1,C11orf71
,CEP41,FAM209B,SAMHD1,MYCT1
,STARD10,TBX18-AS1,GKAP1,STPG1
,JAK1,RABIF,SOX18,CPE
,FBXW5,SLC20A1,SLC9A3R2,TIMP2
,RAB13,LSM4,SNHG9,PHTF1
,TECR,UROD,CA2,IFT172
,YBX2,FHL1,JUP,FOS
,CORO1B,MTCH1,C2orf73,MYC
,SH3BP5,BSG,CLK4,PPP1R16B
,AC010325.1,UBE2D2,RTL8C,TMBIM4
,ATAD1,MTCH2,PRKAR1A,OAZ1
,MEIOC,SPATA4,OSER1,HADHB
,RPN1,MTUS1,GNAS,HP1BP3
,CLDN5,ELOF1,TMED1,NTHL1
,RAC1,SLC25A6,CREG1,CEP112
,PAGE2B,AP1S2,TSGA10,ID1
,DNAJC4,ANKMY1,MYL12A,LAMA2
,KPNA2,CEP57,PSMB9,MT-TV
,C3orf38,SOX17,SPATA22,AK3
,FXR1,EBLN3P,PLTP,C12orf57
,CRBN,APH1A,LRRC37A16P,DYSF
,ZNRD1ASP,CREM,KLF13,BNIP3L
,SECISBP2,TSGA10,DAZL,ITPKB
,KARS,TOMM22,TPP2,TIAM1
,SLC3A2,ZNF22,TMEM270,DUBR
,ATP11C,CPXM2,EMC6,SERPINA5
,BCAP31,CNIH1,FAM71D,DDX20
,TM4SF1,PRDX1,ALDOC,NFKBIA
,PRKAR2A,PPP4R1L,SCRN2,NLK
,FAM104A,AC025524.2,MT-RNR1,PSMF1
,HEBP1,LINC01227,TSPAN6,ZNF124
,GSKIP,FBXO39,IL6ST,ITSN2
,CAP1,AC209154.2,DYSF,INSIG1
,ZNF366,ZDHHC19,PHLDA1,LGALS3BP
,ZFAND4,GYG1,COX7C,DRG1
,NUCKS1,ZFAS1,SDHD,CDH11
,RALGAPA2,JUN,USP15,KLF10
,NCBP1,EIF3E,TSR3,COL6A3
,BLCAP,CDC42EP1,ARHGAP28,KLHL7
,AFAP1,SIGMAR1,ACTG1,SNHG5
,SLC25A37,IFT22,HIST1H1C,RBP1
,TOX4,COPE,NQO1,DZIP1
,NUP98,PRDX4,PPP1R36,ISYNA1
,BZW1,PRDX6,FHL2,RASSF2
,GID4,TM2D2,TGFB1I1,HEXIM1
,SPACA1,COPB2,PABPC1,NFIB
,HSPA8,KARS,AAMDC,CD9
,KDM5B,KPNA2,FAM46C,AC007969.1
,CHD4,SERINC3,FNBP1L,CXCL12
,ACRV1,PPA2,EEF1B2P6,SPATA22
,NGLY1,SNRNP40,PPP4R1L,TRIM2
,SEC14L1,C10orf128,NR4A1,NGLY1
,OSMR,METAP1,EEF1B2,CMAHP
,ZNF91,AKR1B1,MAZ,FANK1
,NUDT2,CHID1,CD40,CRTAP
,HEY1,NFKBIB,TMEM243,BEX3
,ECE1,PLCZ1,DPEP1,PCMTD2
,ANKRD7,C17orf64,NUCKS1,IGF2-2
,RAE1,RANBP9,AC008267.5,TCF4
,TMEM38B,DPM2,COX7B2,MTDH
,AASDH,TMEM38B,KNSTRN,FAM198B
,CPE,OXA1L,RNF38,ATP2B4
,VPS35L,DEPP1,DEXI,IGKC
,C11orf71,PHB2,HMOX2,ANGPTL1
,S100A10,SRSF7,JPT1,TMEM126A
,COX7B2,BZW2,TTK,RHOU
,HSPA5,ZNF345,IGFBP2,KCNN3
,NUDT3,ECSCR,45912,RPIA
,STMN1,MAPK1IP1L,DNAH14,LINC01681
,ACTN1,PHF20,PSME2,BBX
,NSMCE1,AC007681.1,NDUFA11,ANKEF1
,ANAPC7,TXN,LAMA4,B9D1
,SERPINF1,GPX1,FAM92A,PSAP
,EPB41L3,ATF4,RAD23A,CALM3
,INPP1,AC008267.5,EVA1B,LIFR
,SLC25A33,ID2,CALCRL,ZC3H14
,IQCG,SPATA9,PTP4A1,MCTP1
,OAZ2,RNF133,KITLG,SPA17
,ALDH1A1,ZNF683,GNB2,FANCI
,FARP2,C3orf30,TTC29,SRSF5
,SBNO1,ESS2,THSD7A,GPX4
,MPHOSPH9,ZNF124,DHX29,SMOC2
,HSPH1,LIMS2,ABHD1,PIH1D2
,SUCLA2,ARMC8,LTBP3,IQGAP2
,SQSTM1,FRG1CP,LRTOMT,NFIX
,PSMG2,PPHLN1,C11orf65,APOL3
,CAPZB,TM4SF1,MEOX1,LRRC6
,MT-CO1,CLEC14A,PCAT6,SOCS7
,STAU1,TSEN34,TNFAIP8,RGS5
,JPX,MAGT1,IER5,ATP5F1B
,MET,TIAM1,HOXD9,CEP170
,SERPINB1,SYS1,NORAD,MAP3K20
,TMSB10,AC010325.1,TEX15,SLC25A6
,PTMA,ADCY4,RASD1,SELENOP
,PHF20,SSR1,SOX4,CALD1
,NBAS,YTHDF2,PRDX5,G0S2
,ZNF766,IMPDH2,APOL3,IL3RA
,BRK1,SERPINH1,PABPC3,C15orf41
,PAIP2,ELOA,SDF4,NOP53
,KDR,BUD23,ESM1,BTNL9
,UBE2J1,LMAN2,YBX2,YME1L1
,ZFAND3,USP2,CYR61,SPATA20
,SOCS7,THYN1,APLNR,APH1B
,MTUS1,NLK,STARD7,NSUN4
,FNBP1L,DPM1,NRAV,KIAA1210
,FAM198B,POLR2H,PROCR,PSMB9
,PLCB4,TXNDC15,ATXN2L,STIP1
,HIST1H2BA,BTN3A2,CD93,MYL9
,ZNF638,EI24,ACTN4,TMEM53
,SDHD,CTNNA3,C9orf116,COBLL1
,HIST1H1C,SPATA12,EPB41L4A-AS1,BAZ1A
,FAM9C,MAPKAPK5-AS1,TRIP12,MET
,ZMAT2,LINC00226,NDRG2,MT-TP
,RHOU,C5orf49,VAT1,C1S
,BST2,MS4A5,NTHL1,CTNNB1
,CENPJ,KIF2B,H2AFX,PKN1
,PLEKHA1,FAM120B,RNF17,SNHG7
,MIEN1,PSMC4,TFAM,HOXD9
,TUBG1,ADM5,PLPP1,SRPK2
,LBH,DNAJC2,CCL3L1,LTBP4
,C6orf89,ITGA5,CKLF,ARPC5
,PSME3,CDKN1B,SWI5,MPZL2
,CLEC14A,CDC42EP4,ABCC4,TIMP1
,FOXJ3,PDCL2,RANGRF,ATP11C
,PABPC1,CEP170,FAM198B,CEP41
,RNASE1,PIK3C2A,OLFM1,TNS1
,HENMT1,IFNGR2,PTOV1,EDNRB
,ABCD4,HK1,TOX4,GPRC5B
,TUFM,RAD1,GSTO2,LDHB
,BEX1,TMEM30A,PFKL,MMP2
,DEFB123,POLR3GL,HIST1H1E,EIF4B
,SRSF4,NCBP2,NDUFC2,IPO5
,HACD3,C6orf89,OSMR,APLNR
,ELOF1,PTDSS1,FLT1,SPCS1
,SLC39A1,VPS35L,ANXA11,FAM9C
,TCTA,FHL5,SYCE3,ZNF345
,FHL1,ALDH9A1,RHOU,ADD3
,MFGE8,ATP6V1A,FHAD1,ACTN1
,HLA-B,PLCB4,THAP5,FAM129A
,HAGLR,TM4SF18,RAB11B,RBBP8
,ATP6V1D,LOXHD1,LMO4,ZFAND3
,CLASP1,ABHD1,EIF5,BLCAP
,TFAM,FSCB,BACH1,ECM2
,MTCH2,TXNDC8,CITED4,FN1
,THAP5,NRIP3,IRF1,NECAB1
,VPS25,REEP6,COL15A1,DNAH14
,DDOST,CETN1,SRPK1,CIRBP
,RDX,OTUB2,EIF5A2,NUP214
,TXNIP,SLIT1-AS1,IMP3,ESM1
,TEX15,ACTL9,EMP3,ISG15
,PEG10,C1orf100,CD59,RABIF
,NUP214,ACRV1,NECAB1,RAPGEF2
,KIAA1210,TSSC4,KIAA1257,NRN1
,TMTC1,BAG6,ETFB,IFIT1
,NUTF2,CMTM3,PPP1CA,AC093752.1
,GYG1,PDHB,PODXL,MEA1
,ASB8,DCAF5,TSPAN4,ESYT2
,C2orf40,CCNDBP1,MTFR1,BACE1
,HK1,PCMT1,RHOC,PPP1R7
,RBM8A,NASP,IFT57,CYB5R4
,EXOSC4,PLEKHA1,MMP2,CLSTN1
,WDR3,ABCB1,BZW1,EID1
,LRPAP1,MFGE8,RALGAPA2,BEX1
,ARHGAP31,MALAT1,CYYR1,RAB31
,IFITM2,C5orf52,TNFAIP8L1,OBSL1
,NELFCD,LEPROTL1,TGFB1,RARRES2
,DDIT4,SLC25A11,PRKAR2B,H6PD
,45904,PDLIM5,BEST1,PSD3
,RSRP1,PSMD13,PTMAP4,NDN
,AP1G1,DNAJC15,NRDC,PRMT1
,CRNDE,FTSJ3,THY1,STEAP4
,XBP1,GOSR2,ATF4,AL353743.1
,MT-TL1,GABARAPL1,TNFSF12,PRPS2
,THBS3,SPATA17,CETN1,CDC42
,MYC,MAD2L2,METRN,CYYR1
,MAPKAPK5-AS1,ALG5,KDM4D,DHX57
,TMEM160,AGBL5,GIMAP7,NARF
,XRN2,B9D1,RDX,NSA2
,ARID2,DANCR,PHB,SLC25A33
,BUD31,RDH11,NDN,CCDC85B
,PCCB,HSD17B11,IL13RA1,SGK1
,TRNT1,CSTF3,KAT5,IQCG
,NABP2,TUBB,CDIPT,RACK1
,MYO9A,ITGB1,MXD4,ADGRG1
,VDAC2,ANKEF1,RARRES2,DDX5
,ERGIC3,EMCN,TIMP1,KAT6B
,RNF41,YWHAE,HIST1H1D,DPYSL3
,EIF2AK4,MAPRE1,BCL7C,PLCB4
,ITGA6,AP3B1,AHNAK,OLFML2A
,RSRC2,TSPAN12,G3BP1,LRRC27
,CDK4,ZNF436,CBX6,MSI2
,CHORDC1,DHRS7B,MTRNR2L1,SCARB2
,SYS1,PCGF3,COIL,MLLT6
,HMGB1,TEX48,CCDC115,INSL3
,ACTA2,PABPC3,PENK,ROCK2
,DNAJC15,GALNTL5,CYHR1,IL13RA1
,FBXW2,PGM2,SELENOM,NXN
,COQ8A,PSMA5,CREM,SPESP1
,ZFP36,RTL8B,ID1,FLNA
,IFT88,LINC01539,MFAP4,ODF2L
,TMEM219,C6orf201,CNN3,RASSF3
,RANBP9,AC097375.3,FKBP8,GLRX2
,NOLC1,AC004797.1,DDX17,FGFR1
,REXO5,RFPL3S,RFLNB,REEP6
,CKLF,ACTRT3,NDUFB1,HAGLROS
,ADGRG1,UBQLNL,NFIC,PSMG1
,YTHDF2,LINC00293,EXOC6,ATP6V1D
,EHMT1,AL672043.1,MTDH,FAM120B
,RPN2,LINC02314,CHCHD10,CXorf36
,SPATA5,C3orf22,ADAMTS9,HSPH1
,EIF4E,FAM71C,BAALC,ZFAND4
,PIK3C2A,HADHB,AC103591.3,TPD52
,ADGRA2,RTL8C,ZMYM2,IFI44L
,CNTRL,WRB,RBM42,H1F0
,IMMT,EBNA1BP2,RSRC2,ZNF280B
,CITED1,CCDC90B,CCDC126,RCAN2
,ANKRD26,IDH3G,EIF3G,ZNF608
,TRIM69,GMPS,STPG1,AC018521.5
,DIAPH1,CYSLTR1,TFPI,NDUFA13
,DDX17,NABP2,AC006012.1,SPARCL1
,EFCAB13,TM2D3,SF3A2,ATP5F1D
,MYOF,RBM7,CD83,MAD1L1
,AC109326.1,TCTN3,SHC1,THSD7A
,GOSR2,LY96,TLE4,ARL6IP6
,RRBP1,ENO1,PPP1R32,PAK2
,UBLCP1,STOM,FAM120B,KLF3
,RFTN1,COPZ1,LINC01578,SRPK1
,SUN2,SELENOW,ADM,CLIC4
,SLIRP,DCTPP1,DHX57,HIPK3
,ZCRB1,LCN6,PRKCSH,CDH5
,SELP,LRRC32,GLRX2,RRAS
,ZMYM2,TMSB10,ZNF345,ATAD1
,WDR20,KLHL7,SOD3,ANGPT2
,CUL2,APH1B,SLFN5,AC005912.1
,EMC6,SEC62,ATP8B2,SOCS2
,LIMS2,NUDCD1,BTN3A2,OSGIN2
,GAS6,ADRM1,GADD45GIP1,BLOC1S1
,MGST2,NOSIP,KHDRBS1,RSAD2
,TBCB,PSMB4,DPP7,NUP155
,CMAHP,C2orf73,CPE,MTMR10
,RNF115,SCCPDH,SERP2,TAF7
,DNAJC10,CCT7,KLC1,FMNL2
,PPP2R1A,TMEM50B,NME3,UBAP2
,PRDX4,PIAS1,FYTTD1,EFEMP2
,PINK1,C4orf3,TNS1,CLPP
,RNF7,LMBR1L,PLPP3,SC5D
,SPCS1,ZC3H14,CX3CL1,NID1
,TNFRSF1B,AAR2,EMD,CRHBP
,DDX39A,TRUB2,CFAP43,DOCK9
,EIF4G1,EFCAB6,PLSCR1,CDA
,NLK,PDHA2,H3F3A,HLA-DQA1
,CD300LG,TLE4,HPCAL1,INPP1
,TNFSF10,LTBR,CCL3,KLHL36
,MAP1LC3B,MGMT,MTCH1,GVINP1
,PAFAH1B1,WASHC3,XRCC5,IQGAP1
,ZNF675,PNO1,SNHG25,ATRX
,SH3BGRL3,HMGCL,PLD3,EPM2AIP1
,MGST3,MED13L,CBLN1,ETS1
,BAG6,KLHL10,USP22,AFAP1
,MORF4L1,NUP155,HSD17B12,COL4A2
,COMMD6,RPGRIP1,EHD2,NQO1
,CCDC90B,ZNF487,FXR1,VCL
,AC073861.1,ODF3L2,ENPP2,IDS
,TRMT112,SERGEF,TAP1,XIAP
,CEBPG,SDHAF2,PPP1R16B,MBNL3
,SELENOK,LINC01304,PPM1F,RALGAPA2
,TALDO1,MIR7515HG,GNB1,RAB5B
,GATM,45912,AAMP,CENPJ
,SRSF9,C9orf153,G0S2,45719
,F8,CCDC179,SLC25A3,NSRP1
,FAM76B,TXNDC2,UBE2N,MYO5C
,KANK3,CCDC110,ZNF385D,HSPA2
,TBX3,SPZ1,AC113935.1,NR2F2
,CAVIN2,TEX36-AS1,BSG,PIGP
,EIF4H,SNX5,ZFPL1,RFLNB
,APH1B,IQCG,RAB3IP,PPP1R15A
,TSPAN13,AAMP,PLXND1,WDFY1
,DAD1,MYL6B,GIMAP1,DNAJC18
,PARP14,FBXW5,KPNA2,PLEKHO1
,GNAS,PSMD11,COX10,HIST1H1E
,PHTF1,MVB12A,BUD31,PPDPF
,CCDC82,GNPTG,WWTR1,ELOB
,IFI44,ATP5PF,PTP4A3,PIK3C2A
,TMCC3,GGT5,BTF3,LMO4
,RTN3,GPI,NFIA,CHP1
,SRP14,FAM32A,CCDC107,DCAF1
,GPBP1L1,UQCRC1,MINDY2,TCN2
,LYPLA1,DDX4,IQCG,NFIC
,XRCC5,MIOS,ZNF100,PPIA
,CNN3,GIGYF2,NUP155,CYB5A
,RIOK1,PSMC3,NSUN4,GNG2
,LPIN1,CYB5R4,CEP57,DLC1
,ZDHHC20,RALGAPA2,CDC42EP5,HSD17B11
,FOPNL,CD58,ATG14,MCC
,MBNL3,ATP6V1E1,WDR13,ZNF292
,SLC16A7,ECE1,RPIA,EDF1
,STK24,ICAM1,ADGRG1,NR3C1
,SRP9,COMT,CXCL2,PFDN5
,FLT1,LDHC,KLHDC2,JUND
,MTX2,NUP37,ACD,FDFT1
,ARHGAP26,CLK1,BAG5,CMC2
,NUPR1,DCAF13,MGST3,IGFBP6
,UBA52,WDR43,OAF,PJA2
,SLCO2B1,MEX3C,C1S,DYNLL1
,SNRPE,DCTN2,KIAA1586,KRBOX1
,MTATP6P1,CNOT2,ESS2,ZFP36L2
,ARL4A,HEXB,CMAHP,IRF1
,EXOC6,MYL9,RNF130,IAH1
,PSMB5,MRTO4,PRMT5,METAP1
,TUBA1A,PIAS2,ACAA1,HMGN2
,ABHD2,TTBK2,IFT172,HHLA3
,TUBA1C,HAX1,ARID2,IGFBP4
,TIMMDC1,LCMT1,MRFAP1,SSBP1
,ENPP5,SRRT,SPACA1,NDUFB8
,ARHGDIA,UBLCP1,SRPK2,TNFRSF11B
,COX14,RNF5,ATP11C,MSMO1
,BAG3,WASF1,DLC1,QKI
,SDR39U1,SLC35G2,ANGPT2,GTF2A2
,CAV1,HCP5,ATP8B1,45902
,LRRFIP2,PPP1R32,NME4,BAG5
,EIF3I,AC104971.2,LCN6,EZR
,FATE1,RABGGTB,FANCI,RHOA
,SON,ZFAND4,PPM1G,MYADM
,GSTK1,ASB17,PMVK,MX1
,SOD2,SLIT2-IT1,NXN,HNRNPA0
,FAM13C,UTP4,PLEC,SVIL
,NDUFS7,DAB1-AS1,EXT1,PAFAH1B1
,CCT6A,TMCO5B,TNS3,SBNO1
,MTIF3,SPATA46,CYB5R4,NAV3
,AC007969.1,SPANXN4,NGLY1,EIF3E
,UQCRB,PEPD,GTPBP6,WASF2
,EDN1,SMAGP,RABIF,FXR1
,HERC2P2,RHBDD2,HAGLR,MSL1
,PSME2,SMIM7,CITED2,MMP15
,GADD45B,HADH,CLTB,IFIT5
,GTF2A2,MPZL2,RHOA,FBLN5
,EPS8,IMMT,PQBP1,ANKRD36
,LDB2,PDE1A,ATP6V1D,THRA
,SPANXN3,UBA52,NLK,COL15A1
,TAF12,PPP4C,DCHS1,CNN3
,RAB1B,DPP7,PALB2,TROVE2
,WARS,CUL4B,IL3RA,EXT1
,ARPC2,HIGD1A,DDX20,FAM214A
,CCDC110,GALNT15,SNRPB,ARRDC3
,GGT5,FAM45A,MAPK3,FXYD5
,SLFN5,TMEM53,NDUFA1,TNFAIP3
,ASAP1,SLC44A2,UBE2Q1,EIF4E
,PSMA2,C9orf43,EIF2S2,DYNLL2
,SPATA20,LYRM1,SECISBP2,FBXW5
,NDUFC1,PAPD4,ZNF358,ACP1
,ATP5PB,TTC29,SCAND1,COL6A1
,HSP90B1,PTMS,CEP112,SH3KBP1
,REXO2,RAD17,AC027644.3,LMO2
,HLA-DQA1,DERL2,SUMF2,TPRG1L
,ATP8B2,CAPNS1,CXCL3,CALM2
,SUPT6H,RAD23A,TPM1,RBBP7
,ACP1,PML,CHD3,LRRC58
,BEX3,CD40,SPARCL1,SEC31A
,EIF1B,MORN5,ZNF451,SCP2
,MT-RNR1,ST6GAL1,HIPK2,MT-TS2
,CETN1,GPS1,RCSD1,LIMS1
,EPAS1,MAD1L1,SNHG16,BCL3
,CLK1,MAN1A1,UXS1,WASHC2C
,COPS3,FAM9C,EFCAB1,PCNP
,PRPS2,TSFM,INO80E,SMARCA1
,SOX9,SHISA5,RNF187,BRK1
,PODXL,AKR1A1,CAPN2,JUNB
,EIF3E,CASP4,ELN,SAMD9
,ZC3H7B,ATG12,WDR20,PEAK1
,COX6B1,PFKP,ARL8A,ATP5ME
,AAMDC,TEX30,CXCL16,TPST2
,MCFD2,PSMB8-AS1,YIPF3,FAHD2B
,LARP7,COL15A1,EFCAB13,POLR3C
,INSL3,IL18BP,STK24,OSMR
,FANCI,AP1S1,LRRC17,CD63
,CERS2,TNFRSF1A,SLC22A17,PAM
,KLHL7,NOB1,ARL14EP,NCALD
,IFNGR1,FUZ,CCDC138,CCDC90B
,MIEF1,MAF1,ASAP2,UBE2D3
,BCLAF1,SDHB,DNAJC2,LDLR
,HSP90AA1,CNTFR-AS1,LSR,TM4SF18
,RARRES3,TBC1D21,MAPK10,DDA1
,ZNF131,DRICH1,TMEM109,MARCKSL1
,HNRNPK,CSNKA2IP,FAM220A,COL6A2
,ENAH,TTC39A,MLLT6,ANXA3
,EML1,TMEM210,ZNF503,CEBPD
,ADAMTS9,DNAJC18,AKR7A2,HLA-DMB
,SPESP1,LINC01667,APOL1,ATP5F1A
,SYAP1,C20orf85,LYPLA1,CD200
,HNRNPR,DOC2A,ACP1,INSR
,HSPD1,AL157756.1,SOCS7,ANP32A
,CFL1,PRSS58,MDK,RASSF9
,PDCD6,SPANXN3,RNF138,RNF130
,IL6ST,AK6,LAMP1,PLAT
,HYAL2,NGDN,UBAP2,GIGYF2
,SKP1,RELA,AC073861.1,ZEB1
,NBPF1,SHROOM4,GRHPR,MOSPD3
,PTTG1,COMMD7,MXRA7,COX5A
,CRHBP,NDRG3,EIF1,PDLIM1
,RBM3,TXNIP,ATP5PD,C10orf128
,ZNF22,IDH3B,GLMP,SQSTM1
,ABI1,ABCE1,IPO5,TMEM159
,REEP1,PPP1CA,TNFRSF19,ARL6IP1
,ATP5PF,EIF3H,EXOC3L1,GSN
,GPRC5B,CCNY,GALNT15,DDX6
,HMGN5,SAT2,SERTAD4-AS1,MOK
,LDHC,EIF4A3,CNPY2,TMED10
,NUDC,PPIL1,MAFB,EIF1AX
,DYNLL2,PDE2A,BECN1,GPI
,FKBP1A,ARPC5L,S100A4,PSMD6
,AC099560.2,CA2,PCMTD2,AR
,GUK1,NSL1,CAMK1,STAG2
,RASSF8,COPB1,C11orf1,AHR
,SMC1A,PSMA3,KXD1,ZNF131
,KLF4,SECISBP2L,SPOCK1,ZNF451
,TSG101,AC018558.1,ZFHX3,EXOSC4
,FXYD6,KLHDC9,EDRF1,RANBP9
,LDHB,C2CD6,STMN1,PLAC9
,LMAN1,C11orf1,ALDH2,BTG1
,ATP5MPL,OAZ1,TIE1,KLHDC3
,KMT2E,PSMC2,LEPR,RBPMS
,IRF2BP2,ZFR,LGALS3BP,SRSF10
,NDUFC2,BACH1,HIPK3,SNRNP200
,HIST1H1E,SPRY1,ARPP19,CAMSAP2
,AHNAK,SELENOT,CALHM2,WDR20
,TAGLN,PARVB,MVP,PRKAR2B
,UQCR11,ABCD4,ADAM15,EFNB2
