group,n_cells,mean,median,q1,q3,min,max
Ctrl,1429,0.071436669,0.052,0,0.115,0,0.347
OA,811,0.06009001233,0.051,0.011,0.0885,0,0.309
AZFc_Del,8412,0.1149094151,0.106,0.05,0.169,0,0.502
iNOA_B,1819,0.09125838373,0.078,0.026,0.143,0,0.428
iNOA_S,17069,0.1241853653,0.117,0.061,0.177,0,0.516
KS,9074,0.2869382852,0.291,0.217,0.357,0,0.623
