panel,gene_set,source_file,header_in_file,n_raw_rows_excluding_header,n_unique_genes
Fig3E,SASP,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/睾丸文章数据/体细胞+GSEA+热图/SASP and immune core 疾病/SASP.csv,SASP,111,111
Fig3D,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,/Users/xq/Desktop/睾丸相关/睾丸文章总/最新内容汇总/睾丸文章数据/体细胞+GSEA+热图/SASP and immune core 疾病/MMUNE_SYSTEM.csv,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,281,281
