Myoid-OA,Myoid-AZFc,Myoid-INOA_B,Myoid-KS,Myoid-INOA_S
MALAT1,NUPR1,TEX44,TIMD4,DDX4
AC025280.2,MLF1,PTMA,COX8C,IQCF3
MFGE8,TLE4,LINC00301,PGK2,SPATA4
HBP1,NORAD,FAM81B,IQCF3,TBX18-AS1
TPM2,NUDT3,TMEM31,ILK,SPACA3
ANAPC15,CST3,C20orf141,IQCF2,FAM71F1
BST2,MFAP4,GPX3,MT-ND1,CDKN3
GPX3,ARL4A,SPATA6,NECAB1,CYLC1
AC073107.1,NBL1,GHITM,AC097636.1,SPACA7
TCF21,CDIPT-AS1,CD59,ZFP36,RAB11FIP4
ATP5ME,HTRA1,CLPB,FOS,LINC00943
AC063952.1,ACTRT2,KDELR2,AL359853.3,HYPM
STK24,ACTL7A,FAM229A,AL355357.1,IRGC
SRSF5,PPP2R2B,SPATA33,LRRC75A-AS1,IQCF2
SNHG10,CAPZA3,BRK1,SMKR1,TEX26
KAT5,CCDC91,MFGE8,AL450405.1,LINC01350
PLP1,H1FX,CD151,MRVI1-AS1,SCP2D1
DDIT3,NECAB1,BPIFA3,NTRK3-AS1,AC109635.4
POLR2I,IQCF1,FSCN3,HSPA1A,ANKRD7
CLIC4,MFAP3L,SPATA19,CST13P,HOOK1
ACTG1,PLPP3,SLC25A6,FAM71E1,BANF2
NUPR1,NUPR2,TIMD4,RGS22,SPEM2
SSPN,PRKAR2B,PABPC1,AKAP14,MS4A5
PROK1,DEFB119,PGK2,H1FNT,RNF151
INSL3,FSCB,TSSK6,RAB11FIP4,PPP1R2C
LSM1,TSPAN16,MRVI1-AS1,SPANXB1,MAP3K14-AS1
AAMDC,SMOC1,ROPN1B,LINC00301,SPATA18
ANGPTL4,TCF21,DAZAP2,C10orf53,CCDC136
SDHD,COL6A2,C9orf24,CYLC2,PDCL2
SLIRP,FATE1,DNAJB8,SPZ1,FAM187B
FZD1,RAB1B,SPACA9,PHF7,SPATA33
HSPB1,VRK3,C16orf82,FAM71F1,ARMC12
PINK1,C9orf24,C10orf82,LINC02189,MLF1
PFN1,ACAP1,TEX35,MT-RNR2,AQP5
PLPP1,KIF2C,OSER1,FSCB,BRDT
SPA17,GTSF1L,SAMD4A,AC104964.1,LINC00854
F8,AC010255.3,EIF3I,C2orf88,LINC02189
SRP9,HEMGN,FAM71E1,AL596275.2,TTC29
ROMO1,APP,C10orf53,SH3RF2,NTRK3-AS1
RNF26,UBL4B,GABRG3-AS1,SOD3,FSCB
GUSB,VIM,CEP170P1,AC209154.2,PRR30
MFAP4,SH3GL3,MORN2,FUNDC2P2,TEX53
PRDX1,SPATA42,DYNLRB2,AC109635.4,CST13P
FKBP5,HNRNPD,SERPINF1,PPP1R2C,IZUMO2
FHL5,KCNAB1,RNF138,LINC01667,AKAP3
MT-TV,ATP5ME,CARHSP1,LINC00943,ROPN1
CD63,C8orf59,ACTRT2,FKBP5,FUNDC2P2
IFT20,SPATA6,CCDC70,ARMC12,SPANXD
YWHAZ,RAB11FIP4,TSPAN16,C1orf194,ERICH2
C8orf33,DEXI,C11orf71,TEX53,C5orf52
UTRN,FAM187B,CYB5R2,EGR1,KIF2B
DNAJC9,PLPP1,EIF4E,IER2,HIST1H2AA
IRF2BPL,GABRG3-AS1,ACAP1,VWA3B,BCL2L14
DNAJC12,C12orf57,PSMC5,LINC01350,CENPU
FXYD6,UBQLNL,SH3GL3,IRGC,ODF2
PALLD,HYI,CCDC37-AS1,AKAP3,AL355357.1
MANSC1,MIR202HG,SLC25A5,TPD52L3,TSPAN1
PSMC1,LRRD1,KCNMB1,SPEM2,FANCD2OS
IGFBP7,SPATA18,MTRNR2L1,CLPB,C3orf30
CAPN6,SAMD4A,SEPT7P9,C3orf30,SLIT2-IT1
CRIP2,SPATA19,C12orf50,BX119904.2,AL596275.2
PRM2,MT-ND1,SMKR1,IZUMO4,ACRBP
UQCR11,AC209154.2,DUSP1,DDX4,TMEM210
IGFBP2,IQCF3,SPATA18,KIF2B,AC209154.2
TMSB10,ADIG,SYPL1,C3orf22,PRM3
TUBA3E,MT-TE,TEX37,DKKL1,LINC00226
TMEM179B,CCDC85B,CAPZB,BANF2,FAM71C
ISLR,NSUN4,LINC01191,CCDC169,CFAP97D1
FNDC8,CLPB,HEMGN,MS4A5,SPZ1
AC005912.1,TSPAN1,MDH2,ANKMY1,ZBTB20-AS1
PIGF,PDGFRA,TPD52L3,ZBTB20-AS1,PLCZ1
CLNK,IGFBP5,DNAJC5B,LINC01227,FAM229A
HGS,TEX38,CT83,AC097375.2,SPATA24
RCN3,C10orf82,AC239803.2,RRAD,C3orf22
BTG1,NTRK3-AS1,SLC25A3,CRIP2,MAEL
FAHD2CP,LEMD1,ADAD1,C5orf52,CLPB
LPP,OSR2,TMEM98,CMTM2,AC140479.4
MSN,CYLC2,PPP2R1A,SPANXD,ACTL9
IFI6,ANKMY1,ATAD1,PRR30,AC025524.2
MAJIN,C5orf52,H1FNT,SPATA6,YPEL1
SPARCL1,RASD1,MFAP3L,ARHGAP28,AL359853.3
BPHL,PGK2,MDH1,HSPB6,SPATA3-AS1
TRAP1,HOOK1,AC097636.1,SPATA3-AS1,RNF32
GNAS,GSTM5,HIGD1A,PRM3,TEX36-AS1
PLPP3,CLU,SPANXB1,FAM71C,AP001782.1
ITGB3BP,CCDC54,ZC3H14,AC025524.2,CETN1
BGN,CCDC107,DNAJC4,ACAP1,C6orf201
HK1,PHB,EEF1A1,LINC00944,C17orf64
MATN2,HSPA4L,TAF9,PP2D1,PCP2
ARHGDIA,HIST1H1C,AQP5,EEF1A1,UBQLNL
CLN5,AC104964.1,SRPK2,SPATA33,CCDC179
CSRP2,PPP4R1L,ADIG,FBXO39,RIMS1
EGLN1,TUBA1C,EGR1,FAM229A,FBXO39
VGLL4,C16orf82,SERINC3,HSPB1,MEIOC
AAMP,OSER1,ZDHHC3,LINC00226,SPACA9
AC009118.3,C20orf141,TEX26,TSPAN1,RNF133
TRIP12,PTRH1,TCP10L,ODF2,AC097375.2
NECAB1,AL355357.1,HSPA4L,TMEM210,SPATA17
PAIP2,YWHAZ,CDKN3,SPACA7,CCDC169
IFI44L,IQCF2,SDHC,UBQLNL,PDHA2
BUB1B,FUNDC2P2,CCDC136,RNF133,MACROD2-AS1
SLC25A40,EEF1B2,LINC00608,HSPA1B,LINC00927
APOA1,CEP170,DDX20,FAM229B,C20orf85
MYL9,RNF38,CREM,AQP5,AC010325.1
C5orf58,SEPT7P9,AFF4,LINC00927,ANKMY1
NDUFA13,EMC10,CXCL16,AC073111.1,TEX51
SSX3,PINK1,USP2,AC004797.1,ACRV1
MT-CO2,AC073111.1,FKBP1A,CENPU,PP2D1
MT-ND3,LINC01921,H2AFJ,GNG2,LINC01539
DBP,DNAJB8,CYLC2,GALNTL5,AC073111.1
EIF5,DKKL1,TMCO2,IQGAP2,IQGAP2
NDRG3,PDE1A,SPATA7,CNTFR-AS1,LRRD1
PDIA6,AP001782.1,ERRFI1,CCDC179,PPP1R36
ZMYM2,SPZ1,GSTK1,LINC02314,AL157756.1
CLEC11A,KLHDC2,AKAP14,CCDC136,LYPD4
MTATP6P1,CRIP2,CTSB,SPACA3,C9orf153
MT-ND5,SNHG7,STMP1,TCP10L,DAB1-AS1
B2M,TSSK6,TMEM120A,AL157756.1,C1orf100
MEIOB,TEX26,DRG1,MCAM,RFPL3S
CBX3,SMKR1,C1R,BCL2L14,DBIL5P
SRP14,CCNI,ATP5F1B,TEX36-AS1,TTC39A
ADRM1,NDUFS7,CIRBP,CFAP97D1,KLHL10
SOX4,FCGRT,IQCF3,ANKEF1,GALNTL5
NDUFC1,SPACA9,TBX18-AS1,WASF1,LINC01227
SERPINI1,DDX20,SERF2,LINC01191,BX119904.2
PSMD7,CASQ2,KDELR1,ADAD1,ICA1
THAP7,DBIL5P,PPM1G,MEIOC,LINC02314
MT-CO3,CCDC37-AS1,SPACA3,SPACA9,TXNDC2
HSPA4L,USP2,FAM71F1,ROPN1B,AC016747.2
ARX,SPATA33,SF3B4,C9orf153,ODF1
POLR2C,LGALS3,HMOX2,AL513327.2,LINC01667
