Myoid-OA,Myoid-AZFc,Myoid-INOA_B,Myoid-KS,Myoid-INOA_S
,COL18A1,TXNDC2,MAP3K19,PKIB
,MRVI1-AS1,RGS22,TINAGL1,KNSTRN
,C3orf30,ATP6V1A,TRABD2A,FANK1
,CEP112,ICA1,NHP2,KIAA1211
,SPACA7,SELENBP1,ACRBP,ESS2
,NUCKS1,C9orf116,YPEL1,RNF17
,AL356020.1,ABHD1,CDHR2,TNFAIP8L1
,MS4A5,TEX51,LINC00635,WASF1
,DDX4,ACRV1,RASL11A,NFKBIB
,LINC01191,UBC,GK2,CFAP43
,LAMB2,NFKBIB,MROH2B,THBS3
,OSBPL10,LDOC1,C2CD6,CCDC173
,SDR39U1,C3orf38,SERPINF1,KPNA2
,C1S,TMEM14A,PRDX2,SPA17
,CHPT1,GRID2,SAMD4A,SSX2IP
,AKAP14,SPATA9,NRGN,AL445524.1
,C5orf58,C9orf153,CTNNA2,OSER1
,COX10,DAB1-AS1,DNAJB1,WFDC3
,PRND,C1orf100,SPPL2C,FAM71D
,RCN3,PGK1,NET1,CFAP221
,RNF151,SARAF,ACTB,WBP2NL
,MT-ND2,HAX1,TIMP3,ULK4
,LSAMP,CETN1,SMIM6,KIAA1257
,AC025263.1,AC140479.4,CFAP53,POC1B-AS1
,NSMF,JPT1,LLCFC1,TTC23L
,ISG20L2,KNSTRN,ID2,RAB3IP
,FAM20C,FBXO7,SPATC1,AC018413.1
,CST9L,PDLIM1,USP2,PRKCE
,CTSD,FIBP,C1R,PPP2R2B
,MCAM,LGALS3BP,DDT,TRIP13
,C11orf42,SGCA,CHCHD2,SOCS7
,LMOD1,KLHL10,FAM209B,NSUN4
,PTN,LINC01227,TMEM53,CCDC91
,AC104971.2,BX119904.2,PRC1-AS1,TMSB10
,CYB5R2,TALDO1,LINC02219,FUZ
,CCDC169,CCT2,OSER1,DNALI1
,LRRC71,PPP4R1L,IFT57,TMEM53
,MACROD2-AS1,C12orf10,CD9,RIBC1
,OXCT2,KIF5C,BZW1,C3orf67
,MT-TW,C17orf64,MT2A,JPT1
,CA11,LRRC27,NACA,CD163L1
,ATAD1,RAB1A,RNF32,CCSER2
,SLIT2-IT1,C2orf73,KIAA1257,EHD1
,SSX2IP,HSPA1L,CFAP100,ACTRT3
,SRM,RETREG1,VCAN,EFCAB1
,NUMA1,OTUB2,MGST3,PPM1G
,PRKCE,LINC02314,ERICH3,NLK
,KLHL10,CTNNA3,MS4A6E,ASRGL1
,PRMT5,NUPR1,ZMYM2,USP2-AS1
,CREG1,STRAP,PLSCR2,MT-ND2
,SUSD5,PPA2,45912,PTGDS
,IRGC,PPP6C,CEP112,MOSPD3
,UBE2N,NDUFA9,PACRG,REXO5
,ALDH1A1,PSMB5,LINC01255,AZIN2
,BCL2L14,TEKT3,EDRF1-AS1,TIAM2
,ATG101,HSPA8,DNALI1,ANKRD53
,LINC00293,CNN1,AC010325.1,UBE2N
,CHPF,LEPROT,ABCA17P,GSKIP
,LINC01233,AC016747.2,BCAT1,HMOX2
,ZFYVE21,ODF1,SNCG,ENOX1
,TMEM130,LINC01667,ENG,EEF1A1
,PDLIM1,LINC00944,LBH,DPY19L2P2
,FOPNL,LINC01304,AL355490.1,TUBG1
,MYL12B,SLIT1-AS1,PKIB,STK35
,SNHG6,LCA5L,SRPK2,AFG1L
,PLS3,VAMP2,FAM71F2,ZFAND4
,RBM3,GNB2,STK33,PTTG1
,PHACTR2-AS1,PSORS1C1,SRSF12,AL365357.1
,AC007598.2,PMS1,HNRNPD,WASHC3
,BUD31,SERP2,PPIA,FHL1
,PLIN3,SEC62,SETD9,SLC38A7
,OTUB2,RFPL3S,PPP1R1C,AMZ2
,RHOBTB3,ATL3,LRRC71,GPX4
,ANGPTL4,AC004797.1,CFAP221,PRPH
,PRSS37,45912,LPAR6,SPATA6L
,ZBTB20-AS1,CALM3,C3orf67,APH1B
,MARCKS,MAGED2,ARMC2,SWI5
,G0S2,POLB,GPRC5D-AS1,LCP1
,MZT2B,TOR1AIP1,TFAM,AKAP1
,FBLN5,REEP6,ACTL7B,BRIP1
,ICA1,RNH1,BPI,AC093249.6
,CKB,NUP35,ZFP36L2,NRDC
,TMEM53,FHL2,BRIP1,CASC1
,HMOX2,ACTR10,NLK,DNAJC4
,AC097375.3,PRAF2,C6orf99,SPATA7
,SGCA,METAP1,PHOSPHO1,PTN
,SPATA3-AS1,LINC02109,MOV10L1,RANGAP1
,SKP1,RAB11A,IL13RA2,PFKP
,GPR18,PSMD6,COX7B2,MT-CO3
,FAM229A,KCNMA1,SRD5A3-AS1,AL451165.2
,LINC01723,BRDT,WNK3,FBXL13
,PPM1G,MAPK10,MATN2,IPO5
,C9orf153,DBIL5P,MEF2C,TXNIP
,ADAD1,PRNP,SPATA46,ITM2B
,SLC22A17,UBE2L6,NRDC,NGLY1
,NMNAT2,PPP1R32,C1S,PHKG2
,GSKIP,SPATA12,TSHZ2,DEPDC7
,LARP1B,SPEM1,CFAP65,PMS1
,CTGF,LINC01676,ISG20L2,SETD9
,DNPH1,SPANXN3,ACE,ISG20L2
,HSD17B12,GNAI2,COL18A1,MT-ND3
,HMGN3,AC010325.1,FANK1,LARP1B
,SLC2A4RG,DPEP1,KNL1,EPB41L3
,MARCKSL1,GALNTL5,PRELID1,IFT57
,CYP26B1,ZBTB1,SPOCK1,SRSF12
,ITGB1,UBA52,LINC01760,CUL9
,SSBP4,LINC00662,TEX33,KIF5C
,EEF2,AC104971.2,PTCH1,GPRC5D-AS1
,AL049875.1,IGSF11-AS1,NES,STPG1
,LDLR,AL513327.2,RASSF2,MPC2
,HMGN5,AL672043.1,TPM2,CEP112
,MYOC,LINC00710,ZNF683,PACRG
,WASHC3,LINC01760,SPATA16,USP44
,EPB41L3,NUP214,INPP1,CEP170
,PSMD7,RRAGA,KNSTRN,STARD10
,MIR7515HG,PHKG2,KDM5B,KLF5
,JMJD8,PDLIM3,STK35,SLC22A18
,ERH,DCTN2,SOCS3,RFTN1
,VGLL4,WBP2,CTSK,PAQR7
,SYNGR1,HSDL2,ATP5F1D,B2M
,CMIP,MCRIP1,PRKCE,CXCL16
,AC099566.1,HDLBP,FBLN5,CHD5
,LINC00635,LPP,SLC38A7,GPX3
,WIPF3,PSMC4,AC018413.1,MSMO1
,NR1D2,KPNA3,MPC1L,MIR193BHG
,CLK4,STARD10,TSGA10,LSM14B
,SERPINI1,PPP1R11,ARL2BP,RABIF
,CTNNA3,ATP6AP2,HES4,CYB5R4
,SPATA17,CLMN,STUB1,CEP41
,MAZ,CA2,SPERT,BAZ1A
,CAPNS1,AC092666.1,ZNF280B,TIMP2
,SPATA9,AC104964.1,SPANXN5,AC008267.5
,AC016747.2,FAM71B,WASHC3,ZNF345
,ST3GAL4,FAM209B,ISYNA1,NPIPB15
,LINC00929,MAEL,MPG,EIF5A2
,ATP1A1,FDFT1,TEX22,LYPLA1
,SNCG,PCAT6,RALGPS2,GHITM
,TNFAIP8,DCAF6,FAM220A,AZIN1-AS1
,CCNY,PRKCE,FOPNL,TEX30
,CHMP4B,TUBB4B,LDOC1,HAGLR
,DCC,CENPU,MT-TW,CTNNA3
,HSPA1L,ETNK2,ANKRD7,ARL9
,TEX48,HACD3,KIF5C,PTP4A1
,EMC7,ADI1,SKAP2,PPIA
,DAB1-AS1,HIP1,ULK4,MFF
,AC097636.1,TPP2,FDPS,CPVL
,LGALS3BP,LYPD4,SIN3B,TMEM120A
,LINC00702,ERGIC2,ASB17,SPARC
,ESAM,SIRPD,OST4,FAM120B
,COL1A2,MIR7515HG,VGLL3,EIF4E
,FZD1,AC008114.1,MIF,CDC14A
,ZBBX,C5orf49,GAGE2A,CNTN4
,C20orf85,ARID2,CCDC107,DCAF1
,LARP7,QARS,RCAN2,COX10
,USPL1,SLC25A46,DPY19L2P2,TAF9
,ZNF571-AS1,YBX2,SPATA6L,FGD4
,DEFB123,SMIM3,RABIF,AGBL5
,PLXDC2,FTH1,ZFAS1,FAM92A
,AL445524.1,SCFD1,RETREG1,HSPA1A
,ATP8B1,C1QBP,L1TD1,H2AFJ
,PDXK,SOCS7,TSPO,PGP
,CA2,RASSF8,TRIP12,PNRC1
,PFKP,MAPK1IP1L,AL445524.1,PSMF1
,TEX51,CNTFR-AS1,RGPD4-AS1,AC025280.2
,GSE1,CSNKA2IP,LINC00347,SRPK1
,TNS1,TEX48,LINC02400,SRPK2
,TCEAL9,SPACA4,EIF5A2,SFRP4
,MZT2A,NSMCE1,C9orf43,MRGBP
,PRKCA,G2E3,HSPA1L,CDK6
,ZCCHC24,MANBAL,SORBS2,SECISBP2
,ZNRD1ASP,45726,MTATP6P1,MT-RNR1
,BRDT,ACTG2,COX10,AC133552.5
,CDK6,SPTSSA,EFHD1,ARMC4
,CLTA,IAH1,RPGRIP1,TSPAN6
,BAG5,OXR1,PGAM2,PDE5A
,MYL12A,SCAMP2,AF131216.4,ADSSL1
,PLSCR2,TRAPPC3,BRWD1-AS2,ELP5
,EIF5A2,NBR1,FAM166A,SLC25A37
,DRICH1,IGSF11,CAMK2G,MOV10L1
,PRC1-AS1,LOXHD1,FAM120B,TTLL5
,SRPK2,FHAD1,CAP1,BPI
,MOSPD3,BABAM1,SPACA4,NUP35
,CD163L1,FAM205C,AMZ2,HK1
,HIST1H1E,ACTL7B,ID4,MT-ATP8
,PKIB,POLD2,SOCS7,FAM53C
,CEP350,ZNF345,TMBIM6,KHDRBS3
,EIF4B,PPP1CB,DEPDC7,VIM
,HRASLS5,MRFAP1,C11orf65,MAATS1
,ATP5PD,ARMC2,PLN,C2CD6
,SMOC2,PPP1R36,SEC14L1,TSHZ2
,AL158801.2,45904,SRPK1,PSPHP1
,TSKS,DDX39A,LCP1,CALM3
,GLRX2,DDX4,NOTCH3,JUN
,KNSTRN,PWRN1,HYI,INSIG1
,ABHD17A,ZNF571-AS1,CD163L1,INSL3
,NAP1L1,KARS,GSKIP,HDAC11
,UNC50,PA2G4,RRAS,CCNY
,WDR1,PSAP,TIAM2,CCT6B
,STK24,LDHB,RALY,DXO
,TMCO2,RAI14,AL451165.2,ZC3H14
,LTBP2,PSMC2,RAB1B,WISP2
,ERICH2,EIF3E,CETN1,C1orf56
,TTLL5,SYNGR2,KIAA1211,NME5
,ROCK1P1,NLK,GSTO2,CCDC110
,CD99,LRRC8C-DT,NDUFA4L2,KIAA1210
,GALM,PEA15,LYZL6,EGR1
,HNRNPA0,SORBS1,GUCY1A1,CLMN
,CFAP53,UQCRC2,BRI3,CNN1
,ZNF358,BAZ1A,DNAH14,G2E3
,KAT5,HAT1,MFAP3L,DNAJC18
,AC113423.2,TBC1D21,PDLIM1,SERP2
,SLC51A,LINC01664,CRIM1,TUBB4B
,ADGRA2,PRSS37,WBP2NL,HIP1
,PDGFRL,TXNDC8,MUM1L1,BAG5
,NDUFC1,MS4A6E,ZNRF4,BST2
,SIGLEC17P,PSME4,YWHAH,CCT2
,TMED1,ZFYVE21,MYC,PIH1D2
,CCSER1,AGBL5,CASC1,CLK4
,IGSF11,ADIPOR1,SMC1B,GEMIN4
,DHX57,PSMA7,HLA-C,PPIL6
,PPP1R36,TUBA1A,SLF2,CEP85L
,LAPTM4A,AL356020.1,CCNY,ATP1B3
,ESS2,SORCS3-AS1,TNFAIP8L1,COL15A1
,COLEC11,TIPARP-AS1,IER3,BEND7
,HTRA2,AL136988.2,TTLL5,POLB
,GNB1,SLC38A7,CXCL16,ARMC2
,CFAP97D1,SERPINB6,SAMHD1,TGFBR3
,NME4,LPIN1,ESAM,NR2F2
,TAX1BP3,AEBP1,FHAD1,NACA
,LINC01676,C1orf43,NDUFB7,PPP1R7
,NME3,TSPAN3,NDUFA4,BZW1
,LINC00944,ALDH1A3,ARL9,MT-CYB
,C6orf201,YIPF6,MPC2,DPCD
,HLA-A,TSKS,SWI5,DHX57
,TCEAL5,CNIH1,FAM71D,NFIA
,GNB2,PPP1R1C,MGST1,NUP214
,PPP1R32,LIMS2,EZR,FOS
,PPP1R12B,ZNRD1ASP,CFAP43,DNAH14
,LDB3,USPL1,EEF1B2,GLRX2
,HS3ST1,NDN,RANBP9,TIMM50
,F3,ROCK1P1,POLB,GRK4
,MYOM1,FGD4,CRISPLD2,IQCE
,IFI6,CYC1,TMEM270,LDLR
,PHLDB2,SERPINA5,LPAR1,CLEC16A
,TRIM42,ZFAND4,ZFAND4,MYH11
,FILIP1,AC097375.3,SPESP1,AURKAIP1
,LINC00662,ADAM29,POC1B-AS1,PLPP3
,MALAT1,AC080162.1,CEP41,IFT172
,ANAPC15,STARD3NL,NGLY1,PDE1A
,SYNC,RAB3GAP1,ZNF345,PIAS2
,CFAP65,LDHA,C7orf61,CEP76
,FAM220A,TMEM99,SERTAD1,ELOF1
,RIMS4,DDX3X,TAGLN2,IDI1
,LGI2,MICAL2,SOX30,ACP1
,TCP10L,MGST1,ESS2,RMDN2
,SECISBP2,IGFBP7,AC114812.1,NAT6
,EMC4,PCMT1,PCYT2,FBXO25
,RAD23A,JUN,RACK1,LIMCH1
,ACO2,BTG1,LUM,TMEM225B
,MAOA,THBS3,CPEB3,HNRNPA1
,BEX3,PEF1,GLRX2,PAQR3
,LSM1,RANBP9,FRZB,GID4
,AC239803.2,PHACTR2-AS1,SESN3,NKAPL
,ERP29,RABIF,CIRBP,COX5A
,ROPN1B,AC099566.1,TTK,ZFAND3
,CAP1,C16orf78,HEXIM1,KIF27
,AC092666.1,GK2,LRRC8C-DT,CEP164
,ACTG2,RANGAP1,G2E3,EFCAB11
,FBXL13,SPANXN4,SLC25A37,C11orf96
,PPP1R7,MORN3,FAM104A,AK5
,PALLD,UBE2D3,MIR663AHG,ATAD1
,PDE3A,TTBK2,PRAME,DESI1
,TSPO,EFCAB11,ZNF675,TEX15
,MAP3K19,SLC39A13,ZNF91,DRG1
,NUP155,TMEM205,CHCHD10,SURF2
,LRRC8C-DT,MORN5,MAPK10,PHTF1
,ZC3H14,ADSSL1,TEKT2,ITM2C
,FAM129B,CHID1,REEP6,FAM46C
,SUSD3,PRMT1,AL138785.1,RNF114
,TIAM2,OXCT2,MPHOSPH9,COL3A1
,SNHG5,HDAC11,HIST1H1E,ALKAL2
,PRMT1,LINC00658,LMNA,APOE
,AMZ2,AL133371.1,NME5,SQLE
,RABIF,TAGLN,TPPP3,COL1A2
,LHFPL2,MT-TV,AL359182.2,LINC00662
,CD9,TSC22D1,HSPB8,DYNLL2
,USP22,TUBB6,COX7C,FXR1
,ADAM29,CEP85L,PTP4A1,JUNB
,IZUMO2,NUP98,FAM129A,RANBP9
,SPAG17,UBE2W,S100A6,LRWD1
,ZMAT5,ZYX,SRSF9,POLR3C
,FILIP1L,ACE,SUN2,REEP6
,AL672043.1,LINC01233,ARPC1A,PEG3
,ALDOC,AC025263.1,DHX57,PTMS
,TRIP12,UBE2DNL,TAF9,FTL
,NT5C,CCDC168,PEMT,SAT1
,DCN,PPP1CC,TMA7,PRELP
,BTF3,EIF3F,CCL2,DNAJC15
,RGS2,RNF7,FAIM2,GLUL
,AKAP12,FOS,OAZ1,FBXW5
,CHODL,ZBBX,CEBPD,EFCAB13
,CKLF,YTHDF2,HNRNPA1,OBSL1
,LINC00226,GPX1,CCDC85B,FTH1
,FAM205C,FOXS1,SPARCL1,TPP2
,FAM219B,SAR1B,MTRNR2L1,NELFE
,SEC14L1,BZW1,CPVL,PSME4
,CEP164,SPOCK1,C8orf59,TFAM
,NUP35,SLC29A1,DCAF4L1,IFT22
,NPM1,TXN,TCEAL4,FXYD6
,TEX33,EPB41L3,ZFHX3,ZNF677
,RPGRIP1,MYO9A,EIF4E,SEC14L1
,CFAP221,LINC00635,FXR1,CEP350
,LRRC27,LINC01989,OSR2,SKAP2
,IGSF11-AS1,C12orf42,MYADM,BAG6
,MGAT1,AC009396.3,WFDC3,NPM1
,SELENOK,AC007598.2,FBLN2,BAG1
,VEGFB,SPATA46,PPP1R32,ID2
,SIGMAR1,LYZL4,PNRC1,AGFG1
,RNF187,EIF3M,NUP155,HMGB3
,NEDD8,ZNF675,NDUFS7,ETNK2
,TXN,BCAM,SPACA1,RAD17
,TMEM204,MAP1LC3A,NDN,SPESP1
,NRGN,VDAC3,PIAS2,CCDC167
,FANCD2OS,MSN,UBE2N,NUCKS1
,TSC22D1,ARPC4,PDGFRA,MEX3C
,SPPL2C,AL451165.2,DPT,CD99
,MEIOC,SDCBP,TPM1,MYEF2
,LINC02053,MIR193BHG,RAD23A,NUP155
,LINC01760,ODF3L2,PSME4,RNF141
,TMEM243,STX8,MFAP2,RBM3
,BRIP1,PLA2G5,HMOX2,ZNF675
,A2M,PIAS2,AFF4,CCDC171
,EGFR,TMEM50B,LAMA4,MT-ND6
,OLFML3,SRRT,C11orf71,KATNA1
,MAGEH1,ODC1,FABP3,MT-TL1
,EPS8,LRRC71,COX7A1,RBBP8
,CYHR1,AL355490.1,ARHGDIA,DDX39A
,PAPOLA,PABPC3,DDIT4,WDR1
,FHAD1,AZIN2,PPM1G,IL13RA2
,NLK,LINC01723,RNF17,CUL1
,MT-TS2,VPS45,ATAD1,C12orf10
,DVL1,EIF3D,KPNA2,TRIP12
,IGFBP2,CUL1,GNAS,PARP6
,TRIR,OBSL1,ACTRT3,CENPJ
,ZNF345,RNF115,RFTN2,RACK1
,AL136988.2,BRI3,COX6C,RASSF8
,PMFBP1,DPP7,ID3,NUPR1
,SLC16A12,POLR3C,PRKAR2B,SLC39A13
,HSPB7,STPG1,COL6A2,ZDHHC3
,AC005842.1,SSR4,COL15A1,INPP5K
,COPE,CYB5R4,ATP5MC2,AL353743.1
,RAMP1,ZPBP,ANGPTL1,MEA1
,WNT2B,C11orf42,AZIN2,NUP98
,FAM71D,C7orf61,AFG1L,HLF
,MDK,PWRN2,TPP2,METAP1
,EDRF1-AS1,AKR1B1,IFT22,RFX2
,SUMF2,LINC00293,LEF1-AS1,VARS
,NUBP1,DCC,AHI1,PDGFRA
,MIR663AHG,RBPMS,TRIR,VCAN
,MXD4,EIF3G,ACP1,ARL2
,LINC01255,AL445524.1,JUND,DGCR6L
,H2AFZ,CRAT,RMDN2,PSMD6
,HYPM,RAD17,GSTP1,SRSF5
,C12orf42,NGLY1,MMP2,AKIRIN1
,SCRG1,FUZ,MRGPRF,S100A10
,ANXA2,POC1B-AS1,IFT172,AC093752.1
,PSMF1,ERICH3,ZC3H14,TTC3
,PDE5A,FGF14-AS1,KIAA0513,GLO1
,ZNF32,AC005842.1,ATP1B1,HSPA1B
,THBS4,PAGE3,CDK4,SGCA
,PWRN2,LINC00929,STMP1,PTMA
,SNHG16,RASL12,SECISBP2,TUBA1A
,NUCB1,PLAC8L1,EIF4G2,ATP6V1A
,SRSF5,TRIM42,NUP98,PRKAR2B
,MSMO1,LYZL2,DAZL,ARHGAP26
,KIF15,HERPUD1,EEF2,ISCA1
,MYL6B,DEGS1,TIPARP-AS1,CCDC126
,MTCH1,ACTRT3,CEP76,TES
,INMT,CHMP3,CYB5R4,C12orf57
,ENPP5,C2CD6,NUP214,RMND5B
,TMCO5B,CTNNB1,LINC00662,MAPRE3
,45901,RPN1,LMO4,COX7A2
,SREBF2,URM1,RIBC1,MT-TV
,HAGLR,TP53I11,SBSPON,GADD45B
,BSG,PSMD13,CFH,NRP1
,AC018413.1,PSMG2,LARP1B,C16orf72
,SNHG8,HES1,FBN1,ZFP36L1
,NFKBIB,CNN2,P4HB,FAM76B
,YPEL1,CCSER1,IQCG,MTFR1
,PDGFRB,HSPA9,AC093151.3,ZFAS1
,ATXN2L,CPM,PRKDC,S100A6
,PRSS58,ENOX1,NFKBIB,PAFAH1B1
,MPP7,PMFBP1,FRMD6,SMOC1
,MROH2B,AL365184.2,AC083973.1,AC245297.1
,MORN5,TEX33,ATP1B3,EGFR
,ADAM3A,SPACA1,AOC3,ERI3
,TTC23L,TIMMDC1,BNIP3L,H1F0
,AKR1C3,TSGA10,ATP6V1A,GSTK1
,C3orf67,FXYD6,HCFC1R1,COX6C
,C9orf116,ACTR3,NFKBIA,EXOSC4
,SOX5,CDKN1A,MT-TE,TTBK2
,GPNMB,CDK6,C3orf38,FAU
,INHA,DXO,NUP35,TRAPPC12
,PDHA2,KIF5B,BAZ1A,EIF1
,EIF3G,FHL3,ZFYVE21,CKS2
,LRP1,INPP5K,CEP350,FKBP5
,PAGE3,RGS16,WDR37,DCAF6
,NRIP3,MTFR1L,RBPMS2,CNBP
,C1orf100,ARL2,NR4A1,CRAT
,PHOSPHO1,CLIC1,PTMAP2,RBBP7
,PMP22,ZNF451,GKAP1,PFN1
,RAB3IP,TOMM22,NENF,CCDC57
,CTSV,TTC23L,LNX1,LPIN1
,TSGA10,ZNRF4,THBS3,RAP1GDS1
,IGFBP4,SCPEP1,SNHG6,APOC1
,SPATC1,PIGC,NUDT3,SRP14
,TEKT3,TMBIM6,RMI1,AHNAK
,CNBP,SELENOT,PTP4A3,LYRM1
,ITM2C,HNRNPF,GADD45G,SPATA20
,DDIT3,C6orf99,PAPOLA,GSTO2
,CHD3,MEX3C,SMTN,PDGFRL
,AL365184.2,POC1B,SFRP1,NDUFS5
,NRIP2,C1S,APH1B,FBXO7
,AC140479.4,LAMP2,RNF19A,MAN1A1
,PTP4A1,CEP41,PIFO,YBX3
,CYP11A1,C9orf3,DDAH2,MPHOSPH9
,ROPN1,GPS1,YBX2,NORAD
,GLIPR1,SORBS3,RAB3IP,OGN
,KRT10,SQSTM1,FGF10,KLHDC3
,PER3,COX7A1,CUL9,EID1
,GUK1,WASF1,FAM46C,CAPZB
,ANKRD65,DHX57,CCT2,OSR2
,TNFRSF19,LINC02219,HMGB3,ARID2
,SOX15,AC113423.2,CCDC62,AKR1C1
,SRD5A3-AS1,TMCO5B,TKTL1,TMEM144
,BHLHE41,SPANXC,PABPC3,SWT1
,SEMA3D,ASB5,AC006012.1,LPAR6
,TUBA1A,PRSS58,PEG3,GPR137
,STPG1,RGPD4-AS1,ALKBH7,COL6A2
,FAM166A,GSTT4,ADD3,SSPN
,CAP2,ULK4,AP000892.3,F8
,LINC02400,BRAP,MORF4L1,PHF8
,DNAJC4,TIMP3,EIF4G3,AFAP1
,ACTB,DDX3Y,C17orf80,SLC25A39
,COX6C,RNF32,C12orf75,CCNI
,PDCL2,SPA17,GHITM,SPOCK1
,TUSC1,NTRK3,RAD17,PLAC9
,PIK3IP1,PLP2,B2M,ISLR
,VWA1,CREB1,PINK1,BCAT1
,CTSL,PCNA,HIST1H2BA,UBE2J2
,MTDH,DEUP1,EMD,MKRN2
,RASSF8,TRABD2A,ASRGL1,IGFBP7
,AC135977.1,YIPF3,MYL6,SUPT3H
,GANAB,OLA1,CNTN1,45724
,CDHR2,RAB3IP,PPP1R14B,PDCD4
,NUDT16,ETF1,ARID2,RNF168
,SLC25A37,MAPRE3,MAATS1,TXN
,TSR3,ERG28,SERF2,DBF4
,CLTB,MED7,SCUBE1,SCCPDH
,CSDE1,SPAG17,TPM4,C11orf70
,PFDN5,HSPB7,LIMCH1,CCDC34
,NGLY1,ADAM3A,AC007969.1,ATP6V1F
,BEST1,DRICH1,SCN7A,CSRP2
,TMPO,FAM71D,CEP164,EEF1B2
,GNPTG,SRD5A3-AS1,RAB8B,NFE2L2
,QSOX1,ZNF683,CAPNS1,LASP1
,ERICH3,NDUFS2,TGFB1I1,FAIM2
,INPP4B,TMEM270,TMSB10,FOPNL
,AP2A1,ASB17,CLK4,APP
,ANKRD53,TMSB10,CLEC16A,DHCR24
,RBPMS2,THRAP3,MOB2,CYP2R1
,FRRS1L,EMD,TRIP13,LGALS8
,CGREF1,ISCA1,LYPLA1,LPP
,HEXB,APOBEC3C,IFI27,PENK
,PRKCSH,PACRG,CHMP4B,SPIRE1
,TBCA,SPG21,HLA-A,TMSB4X
,LCA5L,COMT,BAD,HMGCS1
,SPERT,KCNAB1,TOMM7,ZPR1
,RGPD4-AS1,RACK1,VPS51,TMEM38B
,TPP2,SSR2,ZDHHC3,BHLHE41
,SLC22A18,ATIC,CCND1,SPTBN1
,SPATA4,DCAF1,CPE,DCN
,STK35,SEC23IP,PLP2,PAIP2
,AC009396.3,ISYNA1,PFN1,TAGLN
,OSBPL10-AS1,PLEKHA1,ID1,TPT1
,NAP1L5,SERGEF,KLF10,AEBP1
,TERF2IP,FKBP5,TBX2,ZCWPW1
,IFT20,AC083973.1,CCDC138,QARS
,EFCAB1,ANKRD53,TRBC2,TUBB
,MRGPRF,PRC1-AS1,HACD3,NAA38
,PDCD4,SPATA16,MFF,PALLD
,LINC02219,CCDC62,SPTBN1,C11orf1
,PGRMC2,ADAM5,NPIPB15,RFX3
,WFS1,FEM1B,HIST2H2AC,KLF10
,TAF6,MTCH1,FHL5,MAF
,LY6K,CAV2,MCHR2-AS1,MAOA
,CUTA,KPNA2,AOX1,SOX5
,SPTBN1,TBL1X,HIST1H2AA,RAI14
,FAM162A,TMED7,ZNF217,PPFIBP2
,EMD,TBL2,EDRF1,IQCG
,CCT2,CALR,CCND2,CPED1
,MFF,CSNK2B,TNFSF12,UCHL1
,SYF2,PCCB,ANKRD53,TSC1
,PTOV1,SOX4,AAMDC,CTSC
,FAAP20,NECAB1,EFCAB13,PRKAR2A
,RETREG1,SPPL2C,NDUFB1,PER3
,ZFAS1,AL049875.1,PSD3,MAP1B
,FAM92A,WBP2NL,CAMK1,MIR100HG
,FBXO17,AC006012.1,SYNM,GPX1
,AL355490.1,PHOSPHO1,CAPZB,ZBTB20
,KCTD12,SRSF2,ITGA7,CRTAP
,AKR7A2,ILF2,MARCKSL1,ZMYM2
,AFG1L,OAZ2,CEP152,FDFT1
,COBLL1,MED21,DDX24,ODC1
,GAS5,TXNDC12,CCDC173,TENM2
,TMEM259,SECISBP2,PDPN,COL1A1
,AC018558.1,TIMM17A,CEP85L,USPL1
,DIAPH3-AS2,ATP6AP1,SMOC2,BRAP
,TTC3,PHB2,RFTN1,FHL5
,CBR3,CRIP2,S100A4,RUVBL2
,INPP5K,DNPEP,MBNL3,KDM5B
,SOCS7,SART3,DCAF1,C3orf38
,NR1D1,AURKAIP1,DPCD,USP25
,VSIG1,GRHPR,HIST1H1C,TPGS2
,BPI,SLC22A18,CTSZ,EIF4G3
,SLC38A7,UBXN8,DEXI,INPP4B
,ACRBP,ZNF124,HIST1H1A,PSMC5
,CBLN4,PARP6,FGD4,ARHGAP28
,HNRNPA1,RMDN2,LAMB2,FOSB
,C3orf38,PIP4P2,UBXN8,UQCC2
,TRIP6,ZNF91,FNDC11,AHI1
,SORCS3-AS1,RNF5,RBM3,IDH1
,DGUOK,EHBP1,MOSPD3,NCL
,LRRC58,SEC24D,ANXA11,TSHZ1
,CYP1B1,MTFR1,PLBD2,LAMC3
,LAMB1,IMPDH2,CLU,CHSY1
,CKAP4,PPT1,ZNF451,SRRT
,DIO3OS,GEMIN4,MORF4L2,LINC01088
,WASF1,NPRL2,PAQR7,IAH1
,NDRG3,AC135977.1,CPM,CFAP36
,AFG3L2,SMIM6,MAP3K20,ELOB
,AARD,LINC01255,TUBG1,FADS1
,SOD1,MAP3K19,LAMP2,NR1D2
,CLK2P1,TEX22,BTC,HEXIM1
,ADD3,ZBED5-AS1,EFHC1,ARPP19
,BEX1,FNDC11,THAP5,BNIP3L
,ACE,LINC01088,TIMP1,FGF10
,LRRIQ1,DERL2,ATF4,STK33
,SDF4,TEX2,SRP54,EPDR1
,CHST7,PITRM1,SGCE,LAMA2
,TCF4,FLT1,GAS6,ARPC5L
,ALDH1A3,SC5D,USPL1,ERGIC3
,ODF1,LSM14B,ATP5PD,TPM1
,MORN3,ESAM,GPX4,IGLC2
,LYPD4,TUBB,RANGAP1,AC018521.5
,ZMYM2,CAMK2G,PDE3A,COLEC11
,NUP214,ARHGAP35,CUL1,EMP2
,GSTK1,PRUNE1,FHL2,MYC
