ST-OA,ST-AZFc,ST-INOA_B,ST-KS,ST-INOA_S
HDHD2,PRRC2B,MARCKS,ATP5MD,CSMD2-AS1
DDIT4,MTATP6P1,TMCO2,IGFBP7,PAGE2B
SPARC,REG3G,KDELR2,MAZ,TEX35
MT-RNR1,ENPP2,FOSB,PRRC2B,CYLC2
AC098679.1,SYNE2,MLC1,ACAT2,C17orf64
FAM229B,VIM,IZUMO4,NT5C2,ERICH2
MT-TL1,BECN1,BRK1,CXCL2,TSPAN16
LINC01760,JPX,PRMT1,GUK1,TEX37
SEC24C,PDZRN4,NFIB,JUN,LINC00854
HMGCS1,DDT,GTSF1L,BOD1L2,C1orf100
MAZ,TMSB10,TIMP1,ZFP36,ACSBG2
SPINK2,SDR39U1,MYL6,FDPS,FAU
WSB2,INHA,TMED9,NR4A1,PROCA1
SCRG1,IGFBP7,FAM229B,ATP5F1E,TBX18-AS1
ADAM17,SPATA22,FKBP1A,HSPA1A,NFIB
ANKRD7,EEF1B2,SUMO2,MT-ND3,PDCL2
WDR6,SRP9,TMCO5A,ISYNA1,SPANXN4
HSF1,AP2A1,KCTD13,CENPV,HEMGN
TMEM200B,FDPS,GADD45B,MEA1,LAPTM4A
SPATA8,ENTPD6,RNF125,MIR202HG,MT-TC
RPAIN,RAB1B,FAM71E1,AC244517.11,MT-TP
GPRC5B,RIMS4,TEX38,ADRM1,IQCF2
TMED1,SLC4A2,SPANXB1,WDR6,TEX46
MT-CYB,SELENOP,MT-TE,MT-CO1,AL365357.1
LSM1,STAR,LDHC,TMEM200B,HIST1H2BA
CCK,VSIG1,HIST1H4C,TSSK2,AL450405.1
CST3,DCN,ROPN1B,SPSB3,DDI1
HSD17B12,CALR,ANKRD7,AL450405.1,PPIA
CST9L,CALM3,CCDC54,CYR61,RACK1
FLII,HSD17B12,UBE2N,SNHG25,SPATA4
MT-ND2,CCDC141,ATP6V1G1,MT-TY,SPANXN5
CALM1,CST3,TCEAL7,TOMM7,TEX101
INPP5A,SMCP,ATP6V0E1,U2AF2,C12orf54
NDUFA2,WSB2,TMEM31,INHA,TEKT3
TIMP2,HDHD2,DDOST,PPDPF,ACRV1
ST5,SLC25A6,CABS1,NDUFA2,GSTA1
MEA1,SNHG6,S100A16,ATP5F1D,EGR2
SNHG6,PINK1,SUSD3,HDHD2,RNASE1
CDK4,UQCRQ,ARL4D,LRWD1,HNRNPA1
HIST1H4I,SAT1,EWSR1,IDH3A,REG3G
MALAT1,ST5,FSTL3,EEF1B2,FAM209B
C20orf24,TUBB4B,PPP1R2C,SEC24C,SAT1
DKK3,CLCN2,IFI27,PRMT5,LIMCH1
FXYD6,NTMT1,LINC00467,MT-TS2,UBA52
TSSK1B,AKAP4,LINC00301,SLC7A4,EIF4G2
BRF2,MYH9,C20orf141,CCDC85C,PNRC1
CCDC28B,NDUFA4,AC010255.3,MTATP6P1,EIF5
EGR2,INPP5A,TBCB,CRTAC1,TOP2A
KCTD13,TMEM200B,DKKL1,BECN1,COX7C
TBC1D14,DDAH1,LEMD1,C20orf24,ENPP2
REXO1,HNRNPA0,GPX4,HMGCS2,AKAP12
NRXN1,MT-ND4L,SPACA3,FOS,CFAP97D1
PIGF,TPPP2,SPATA33,GADD45B,CNTN1
CLDN11,UQCRH,DUSP1,ZDHHC4,CYR61
MTATP8P2,NUDT3,LINC01191,INPP5A,GAPDH
BEX3,NDUFS7,RNF151,C16orf58,ATP5F1E
C8orf59,CPE,COX7A2L,PLAC9P1,UQCRH
TSSK2,NTN4,EGR3,HEXIM1,VDAC1
PRM2,MT-ATP8,AC087521.1,CHCHD10,C12orf50
AC010325.1,PROCA1,MTCO1P25,CDK4,EGR1
AL133499.1,CCDC54,IQCF1,PGAM2,RBP1
TAX1BP1,TBC1D14,SPINT2,UBA52,SPATA33
PAIP2,MT-TV,RNH1,RPAIN,AC239803.2
SLC7A5,S100A10,SPACA9,USP22,GLO1
PRMT5,LRRN3,C10orf82,NOP53,C15orf48
SNHG16,FAM169A,SGCE,CHCHD2,RBM3
C16orf58,CR381670.1,PCSK2,CARM1,C6orf99
KLHDC2,SLC25A29,TIMD4,PRDX2,CEP170P1
CARM1,COX6A1,CCDC196,PPP1CA,VIM
PFDN5,C20orf141,ALKBH7,TNP1,FOS
POLR2I,SRSF5,RNF5,EGR1,ZFAS1
ZDHHC4,MAZ,CLIC1,CALR,PEBP1
RIMS4,NSG1,SPANXN3,TAGLN,CHGA
PRDX2,EIF5,RPN1,MT-CO3,FOSB
HIST1H2AA,LINC01921,OAZ1,ATG101,LCA5L
VTN,SELENOK,ELP5,TRAP1,RNF32
CNOT1,PLIN3,IER3,RALY,CSDE1
MAP1B,TCP11,ABHD4,NDUFB1,HSP90AA1
VGLL4,ZDHHC2,HLA-DPB1,GAPDHS,MYH9
ATXN2L,WDR6,PROCA1,KCTD13,EEF2
APOA1,GNG2,BEX3,OAZ1,TOMM7
PET100,B2M,TPT1,MAP1B,LRRN3
MSMO1,TRIM55,TMEM230,CCDC28B,SNHG8
NOV,MT-RNR2,HLA-A,SNRPB,EID1
PSMC1,TIMP2,SPATA4,NDUFS5,FAM71E1
OOSP2,SLC31A2,PPP2R1A,EFHD2,SOX2
U2AF2,HNRNPA2B1,PGK2,TBC1D14,MT-TE
SELENOK,JUNB,NUTF2,DUSP15,TPM3
PPP1R1B,BMP2K,THEMIS2,MT-TT,TEX26
KRBOX1,CCDC196,MED25,MALAT1,BTF3
PTGDS,TMSB4X,SPATA42,ETNK2,YPEL1
PGAM2,SRSF2,AARD,CXCL1,CCNI
PKD1,CABS1,MVP,BAIAP3,FBLN2
CP,AMH,CT83,AIMP2,MT-TT
IDH1,IQCF1,TCP10L,CTSA,SNHG6
DNAJC14,ZDHHC4,APH1B,REEP6,DNAJB1
PSKH1,COX7C,AC239803.2,MAFB,HNRNPA2B1
ADRM1,PRDX3,VAMP2,CKB,MT-TH
ETNK2,HLA-DRA,MDH1,MINK1,EGR3
NAT8L,ZFP36,RND2,RIMS4,DHCR24
NR0B1,LIMCH1,MRVI1-AS1,IQCF5,PTGDS
PRAF2,GTSF1L,GOLGA8B,FBXO18,MYL6
KIAA1210,PCBP2,DNAJB1,VPS51,CFL1
CAND2,TEX37,SPATA3,OBP2A,CLIC4
SLC27A3,AC022075.1,DCUN1D1,P4HB,A2M
SNHG9,CENPV,MERTK,PDIA6,PRDX6
FADS2,PEG10,ERP29,PDXK,PTMA
DHH,SRSF6,PSMF1,RBP1,ENO1
ACTG1,PRPS2,UBL4B,CSTB,ABCA1
C22orf23,HSF1,SFT2D1,MAT2A,CTTN
MT-TH,HNRNPD,ATP6AP1,FAM173A,JUN
AC010980.1,NFIB,UROD,CLTB,LINC01681
BMP2K,IDH1,SNRPN,MMP28,NACA
GAPDHS,RPAIN,PSMA5,SLC7A5,SLC27A6
FBLN2,ZFAND5,HES1,PFKL,NCL
FBXO18,HEMGN,HMGCL,ACTA2,TMEM59
COX7A2,DHCR24,SDHC,FBL,DUSP1
TMEM8A,LSM1,CPE,LSM1,MIR202HG
CLN5,CNOT1,GSTA4,OBSL1,MT-TR
TOM1L1,MAP1B,DNAJC5B,DVL1,SULF2
MT-TC,C8orf59,ACTL7A,DEXI,ANKRD7
TCEAL7,FSTL3,FTL,H2AFX,HP1BP3
IQCF5,JUN,DNALI1,C8orf59,SOX4
DYNLRB2,KLHDC2,AUP1,GSTM3,CXCL2
CRNDE,PLXNC1,LIMA1,VGLL4,UBC
TUBA3C,MARCKS,LINC00943,MT-TH,TPM4
BRICD5,DUSP1,LOXL4,AL133499.1,PHGDH
SUMF2,MT-TM,COX7A2,AC098679.1,SPARC
LRIG1,ABRACL,APH1A,SNHG9,ELOVL4
CKS2,MGP,FRZB,AC027644.3,EIF4A2
MYLK,DDIT4,TMEM14A,DBP,ATP5MC2
LY6K,CAND2,PHKB,FXYD6,CCDC54
FMC1,NT5E,SOD3,ZFAS1,WIPF3
APP,IFI6,LEPROTL1,UBL5,CXCL3
HEXIM1,CYLC2,MLF2,DHH,HSPA1A
LYPD6B,HNRNPK,RTL8C,ZNF428,NSG1
ETFRF1,HEXIM1,ROPN1,PSMD7,ODF2
PSMA2,NDFIP1,ECHS1,PKD1,PHLDA1
AIMP2,ADIRF,LGMN,SUMF2,VCAN
ISYNA1,CRISP2,FADS2,KLC2,CDC42
COL1A2,PPIA,SPATA6,TSPAN17,CHCHD2
CCZ1,SNHG5,SYNE1,GALK1,MTCO1P12
CNPY2,TTYH2,CEP170P1,DEFB123,MT-TS2
FAM169A,JAK1,SPATA19,MMP15,ZPBP
CKLF,RNF151,RPN2,C1orf122,YWHAZ
BBIP1,C20orf24,SDC4,SNRNP70,SRSF5
TFRC,SUMF2,SNHG5,POLR2I,YBX1
CENPV,NR4A1,HIGD1A,MCRIP2,CTNNAL1
PRPSAP1,CYR61,AMZ2,ZSWIM8,ATF3
FUZ,NDUFA2,ERICH2,EIF3G,PTBP3
SMIM27,IFITM2,NCSTN,MGLL,IDI1
FAM53C,ILK,RER1,ZSCAN16-AS1,FSTL3
TRAP1,PRMT5,DAXX,C15orf61,CSTB
TTYH1,CDK4,BX119904.2,SQSTM1,C1orf122
MTATP6P1,RASD1,ACSM3,POLR2L,ULBP1
CHGA,SH3BGRL,MT-TH,SCAND1,CRNDE
PPP1CA,ABCA1,PSMB5,SMIM27,NDUFB11
SLC7A6OS,LINC00919,SPANXD,YIPF2,MT-TD
RASD1,IER3,PRRC2C,HSPA1B,HSP90AB1
MT-TI,C1orf194,ARF4,H1FX,ATP5F1D
IZUMO4,FXYD6,SUCLG1,UBC,SLC25A3
ELOVL5,MTCO1P12,PNRC1,ST5,PPP1R15A
SRSF5,ACTL7A,KLHL23,DUSP1,MT-ND1
AL450405.1,RHOB,PJA1,IER5L,ACE2
HMGB4,ZRANB1,C11orf71,ILK,NPM1
C15orf48,SQSTM1,SPCS1,SNHG16,MYL12B
PTTG1,KIAA1210,BLCAP,MT-TE,CLU
C4orf48,MT-TG,TMEM205,KLHDC2,VAMP3
ZRANB1,PPP1CA,GNPTG,SLC1A6,ATP5F1C
CTGF,SEC24C,HEXIM1,SRSF2,NIPSNAP2
MMP15,CCDC85C,DUSP11,HNRNPAB,SRRM1
FAM102A,CTSC,TEX35,STK11,KITLG
CALD1,PFDN5,DDR1,C12orf75,GNAI2
NT5E,ITM2B,WDR1,TAX1BP1,TMSB4X
APH1B,TMED1,MPC2,TIMM13,GADD45B
DHCR24,C1orf43,RNF141,DRAP1,BTG1
