stage,group,comparison,pathway,pathway_readable,setSize,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,neglog10_fdr
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,140,1.72659763050776,6.61143131708843e-05,0.000300519605322201,9.49009279964846e-05,3525,"tags=41%, list=9%, signal=37%",IGFBP5/CAV1/DUSP1/ANXA2/ATRX/MGLL/MT1E/MAP1B/LTBP1/ID1/NFIB/NRP1/PRKCE/NIPBL/SERPINE1/YTHDC1/COL1A2/TJP1/PDLIM5/FHL2/CAP2/PTPRM/CELF2/TGFBR2/HAS2/SYNE1/CDKN1B/ATP2B1/CDK13/WDR37/PLCB4/PMP22/CITED2/NOTCH2/ATP2B4/COL1A1/MYC/DAB2/PDGFRB/APBB2/PLPP3/ARHGEF9/ICA1/INPP4B/DLC1/KALRN/LAMC1/SLC22A18/KCNMA1/ACVR2A/FBLN5/GRK5/F3/NEK7/PRKAR2B/CDON/SYNJ2,3.5221271901986544
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_P53_PATHWAY,P53 Pathway,192,1.62789095730991,0.000102599835630556,0.000427499315127317,0.000134999783724416,3957,"tags=34%, list=11%, signal=31%",TXNIP/S100A10/S100A4/FOS/TM4SF1/JUN/LDHB/ZFP36L1/NUPR1/SAT1/RACK1/PLK2/BTG1/CD81/STOM/NINJ1/BTG2/TSPYL2/DCXR/BLCAP/APP/TSC22D1/CDKN1A/EPHX1/CD82/SERTAD3/CTSD/PPP1R15A/SESN1/GADD45A/PDGFA/DRAM1/TOB1/PITPNC1/ZBTB16/TRAFD1/PTPN14/CCND2/HEXIM1/MDM2/TAX1BP3/ATF3/CCP110/RB1/SLC3A2/ZMAT3/FAS/KRT17/HBEGF/PRMT2/CCND3/F2R/XPC/FUCA1/AEN/RGS16/WRAP73/MXD1/MXD4/EI24/PCNA/SOCS1/NUDT15/ACVR1B/SEC61A1/ST14,3.36906457669409
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_ADIPOGENESIS,Adipogenesis,197,1.64231022355276,0.000119789827649802,0.000460730106345392,0.000145493717793282,3016,"tags=34%, list=8%, signal=31%",SPARCL1/GPX3/MYLK/MGST3/CAVIN1/SOD1/SNCG/COX7B/MGLL/CD151/PRDX3/ADIG/IDH3G/COX8A/STOM/NDUFB7/SCP2/COL4A1/ATP1B3/DHRS7/COL15A1/GPD2/PEMT/TALDO1/ALDH2/HADH/YWHAG/GHITM/RAB34/GADD45A/CD36/ITIH5/TKT/RTN3/LIFR/GPAT4/ADIPOR2/TOB1/UBC/APLP2/BAZ2A/AGPAT3/REEP6/CAVIN2/SDHC/ACLY/NDUFAB1/FABP4/APOE/RIOK3/LIPE/SORBS1/PLIN2/PDCD4/CHUK/SSPN/IFNGR1/JAGN1/G3BP2/ELOVL6/BCL6/MAP4K3/OMD/CD302/CAT/CYC1,3.336553407906921
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,197,1.60739624615314,0.000209787790241217,0.000749242108004347,0.000236602770948741,5760,"tags=37%, list=15%, signal=31%",FOS/FKBP5/ISG20L2/DYNLT3/SVIL/PDLIM3/BAG1/AKAP1/HES1/RAB31/SLC7A2/IL6ST/PRSS23/ABLIM1/DHRS3/FHL2/AFF1/CXCL12/BLVRB/RETREG1/SLC16A1/ELF1/ENDOD1/KRT15/TOB1/ABHD2/ELOVL2/RBBP8/KLF10/CCND1/IGFBP4/ABCA3/MYC/NBL1/MED13L/SLC1A4/AR/MAPT/B4GALT1/DLC1/SIAH2/RHOBTB3/FLNB/ARL3/OLFML3/CANT1/ITPK1/ELOVL5/XBP1/GLA/BCL2/THSD4/JAK2/UGCG/MYB/AREG/UNC119/BHLHE40/RARA/FRK/OLFM1/TGM2/MINDY1/TIAM1/PAPSS2/HSPB8/RET/KDM4B/FASN/NAV2/ASB13/PODXL,3.125377822914469
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,196,1.57697680159863,0.000263098510211697,0.000876995034038991,0.000276945800222839,4146,"tags=33%, list=11%, signal=29%",MT2A/PTGDS/ACP1/ID2/PDK4/ETS2/GSTO1/ITIH4/NINJ1/ARPP19/SERPINE1/CA2/PDLIM5/DHRS7/DCXR/ADH5/ENPEP/PEMT/CYB5A/ALDH2/PTGES3/BLVRB/EPHX1/CD36/CBR1/HPRT1/MAOA/NDRG2/TMBIM6/ALAS1/IGFBP4/APOE/PGRMC1/CROT/CYP17A1/PTS/SSR3/FAS/ENTPD5/AKR1C3/TNFRSF1A/PTGR1/HES6/CAT/ATP2A2/SLC35B1/COMT/DHRS1/UGDH/GABARAPL1/ETFDH/FMO3/DDAH2/CDO1/F10/MAN1A1/SERTAD1/ALDH9A1/NQO1/GCLC/SPINT2/ELOVL5/ACP2/GSTM4,3.0570028658079273
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_ANGIOGENESIS,Angiogenesis,35,1.79904714421816,0.000445057858915257,0.00139080580911018,0.000439201834455846,3025,"tags=40%, list=8%, signal=37%",TIMP1/S100A4/POSTN/LRPAP1/JAG1/NRP1/APP/FSTL1/SERPINA5/PDGFA/CCND2/LUM/THBD/PTK2,2.856733504026148
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,198,1.5505898814837,0.000561737256612988,0.00165216840180291,0.000521737390043023,5567,"tags=39%, list=15%, signal=34%",IFITM3/AHNAK/GADD45B/CDCP1/KLF6/RHOB/GUCY1B1/MAPKAPK2/NRP1/CD81/CDKN1C/GSTO1/HOPX/HUWE1/PRAF2/SYNGR2/CA2/DHRS3/TNFSF10/PRNP/COL6A1/FGL2/ITIH5/GBP4/BMPR2/CCND2/CASP3/PLSCR1/MYC/EMP1/PLIN2/SYT11/IFNGR1/ITGA6/HIPK2/MYO1C/POU2F1/MYO1E/SWAP70/CCND3/SNX14/NCOA3/RORA/CSF1/GABARAPL1/TTC39B/CYFIP1/RGS16/MXD1/CTSZ/SOCS1/P2RX4/ANXA4/ETFBKMT/XBP1/LCLAT1/ABCB1/PTCH1/NFIL3/BCL2/UMPS/CDC42SE2/IL3RA/ENPP1/APLP1/NFKBIZ/CAPG/BHLHE40/NDRG1/SOCS2/TGM2/TIAM1/PDCD2L/ECM1/AHR/EEF1AKMT1/TNFRSF21/NCS1,2.781945688101395
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_UV_RESPONSE_UP,Uv Response Up,155,1.57122965568963,0.000731453505897116,0.00203181529415866,0.000641625882365891,4632,"tags=37%, list=12%, signal=33%",GPX3/FOS/NFKBIA/PDLIM3/SLC25A4/RHOB/JUNB/BTG1/IL6ST/CDKN1C/SELENOW/BTG2/CA2/HNRNPU/CYB5R1/DDX21/EPHX1/RPN1/SIGMAR1/YKT6/ENO2/IRF1/MAOA/RFC4/CASP3/TMBIM6/CEBPG/ALAS1/UROD/ASNS/ATF3/PDAP1/CDC5L/EIF2S3/NTRK3/CDC34/BTG3/TUBA4A/TFRC/GLS/CNP/CCND3/NXF1/SOD2/AGO2/CDO1/MARK2/FOSB/CYB5B/AMD1/MMP14/NPTX2/ABCB1/SLC6A8/STIP1/STK25/HYAL2/CTSV,2.6921157749184736
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,186,1.54876836327022,0.000881197061332289,0.00231893963508497,0.000732296726868938,4489,"tags=24%, list=12%, signal=21%",B2M/CD74/TIMP1/HLA-DRA/HLA-E/FLNA/SRGN/HLA-A/UBE2N/HLA-DMA/EIF3A/CTSS/CCL2/CCND2/ABI1/HIF1A/TAPBP/ETS1/HLA-DQA1/IFNGR2/EIF3J/IFNGR1/FAS/HLA-DMB/INHBA/PTPN6/EGFR/CSK/CCND3/F2R/ACVR2A/FCGR2B/CSF1/GALNT1/CCL4/CD40/SOCS1/NME1/UBE2D1/SOCS5/LCP2/JAK2/NCK1/HLA-DOA/ITGB2,2.6347105564464086
Round_Spermatids,OA,OA vs Ctrl,HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,196,1.50507670187345,0.00110877250705965,0.00277193126764914,0.000875346716099727,4478,"tags=33%, list=12%, signal=29%",CAV1/FOS/FKBP5/CD9/DYNLT3/PDLIM3/BAG1/ZFP36/RAB31/CKB/ID2/IL6ST/EMP2/PRSS23/CA2/AFF1/CXCL12/DCXR/MEST/SERPINA5/BLVRB/ALDH3A2/CPE/SLC16A1/HPRT1/TOB1/ABHD2/SGK1/MOCS2/RBBP8/ATP2B4/CCND1/IGFBP4/ABCA3/ASS1/NBL1/MDK/RABEP1/JAK1/PDCD4/SLC1A4/BTG3/KLK11/MAPT/HMGCS2/PTPN6/SIAH2/FLNB/ARL3/UGDH/PRKAR2B/ITPK1/ELOVL5/XBP1/ST14/SLC29A1/GLA/TSPAN13/BCL2/IDH2/SCUBE2/JAK2/MYB/AREG,2.557217542621119
